"","state","district","office","candidate_republican","candidate_democrat","total_votes_republican","total_votes_democrat","gender_rep","gender_dem"
"25","Alabama","District 18","State Representative","Jamie Kiel","Eddie Britton",9845,3886,"female","male"
"26","Alabama","District 18","State Senator","No candidate","Rodger M. Smitherman",0,39819,"N/A","male"
"27","Alabama","District 19","State Representative","No candidate","Laura Hall",0,12675,"N/A","female"
"28","Alabama","District 19","State Senator","No candidate","Priscilla Dunn",0,38668,"N/A","female"
"29","Alabama","District 2","State Representative","Lynn Greer","Lora Kay Morrow",13056,4798,"female","female"
"30","Alabama","District 2","State Senator","Tom Butler","Amy Wasyluka",31997,26911,"male","female"
"31","Alabama","District 20","State Representative","Howard Sanderford","Linda Meigs",14589,8527,"male","female"
"32","Alabama","District 20","State Senator","No candidate","Linda Coleman-Madison",0,36478,"N/A","female"
"33","Alabama","District 21","State Representative","Rex Reynolds","Terry Jones",13311,8391,"male","male"
"34","Alabama","District 21","State Senator","Gerald Allen","Rick Burnham",33368,16005,"male","male"
"35","Alabama","District 22","State Representative","Ritchie Whorton","No candidate",13929,0,"male","N/A"
"36","Alabama","District 22","State Senator","Greg Albritton","No candidate",34507,0,"male","N/A"
"37","Alabama","District 23","State Representative","Tommy Hanes","No candidate",10823,0,"male","N/A"
"38","Alabama","District 23","State Senator","No candidate","Malika Sanders-Fortier",0,29920,"N/A","female"
"39","Alabama","District 24","State Representative","Nathaniel Ledbetter","No candidate",12394,0,"male","N/A"
"40","Alabama","District 24","State Senator","No candidate","Bobby Singleton",0,37394,"N/A","male"
"41","Alabama","District 25","State Representative","Mac McCutcheon","No candidate",14974,0,"male","N/A"
"42","Alabama","District 25","State Senator","Will Barfoot","David A. Sadler",33029,20866,"male","male"
"43","Alabama","District 26","State Representative","Kerry Rich","No candidate",8948,0,"female","N/A"
"44","Alabama","District 26","State Senator","D. J. Johnson","David ""Coach"" Burkette",7863,31973,"Unknown","male"
"45","Alabama","District 27","State Representative","Wes Kitchens","No candidate",13245,0,"male","N/A"
"46","Alabama","District 27","State Senator","Tom Whatley","Nancy Carlton Bendinger",29741,20586,"male","female"
"47","Alabama","District 28","State Representative","Gil F. Isbell","Kyle Pierce",7091,5731,"male","male"
"48","Alabama","District 28","State Senator","No candidate","Billy Beasley",0,28442,"N/A","male"
"49","Alabama","District 29","State Representative","Becky Nordgren","Jared Millican",11528,3032,"female","male"
"50","Alabama","District 29","State Senator","Donnie Chesteen","No candidate",34273,0,"male","N/A"
"51","Alabama","District 3","State Representative","Andrew Sorrell","Chad Young",9448,8540,"male","male"
"52","Alabama","District 3","State Senator","Arthur Orr","No candidate",37295,0,"male","N/A"
"53","Alabama","District 30","State Representative","B. Craig Lipscomb","Jared Vaughn",13779,2931,"Unknown","male"
"54","Alabama","District 30","State Senator","Clyde Chambliss, Jr.","No candidate",35256,0,"male","N/A"
"55","Alabama","District 31","State Representative","Mike Holmes","No candidate",14323,0,"male","N/A"
"56","Alabama","District 31","State Senator","Jimmy W. Holley","No candidate",33137,0,"male","N/A"
"57","Alabama","District 32","State Representative","James Allen Lloyd","Barbara Bigsby Boyd",4513,7761,"male","female"
"58","Alabama","District 32","State Senator","Chris Elliott","Jason Fisher",45726,15193,"male","male"
"59","Alabama","District 33","State Representative","Ron Johnson","Scott Brewer",10155,4928,"male","male"
"60","Alabama","District 33","State Senator","No candidate","Vivian Davis Figures",0,34995,"N/A","female"
"61","Alabama","District 34","State Representative","David Standridge","No candidate",13331,0,"male","N/A"
"62","Alabama","District 35","State Representative","Steve Hurst","No candidate",11567,0,"male","N/A"
"63","Alabama","District 35","State Senator","David Sessions","No candidate",29046,0,"male","N/A"
"64","Alabama","District 36","State Representative","Randy Wood","Nicki Arnold-Swindle",11399,4256,"male","female"
"65","Alabama","District 37","State Representative","Bob Fincher","Charlotte A. Clark-Frieson",11153,4505,"male","female"
"66","Alabama","District 38","State Representative","Debbie Hamby Wood","Brian McGee",11151,4944,"female","male"
"67","Alabama","District 39","State Representative","Ginny Shaver","No candidate",11585,0,"female","N/A"
"68","Alabama","District 4","State Representative","Parker Duncan Moore","Jo Ann Cummings",11074,4325,"male","female"
"69","Alabama","District 4","State Senator","Garlan Gudger","No candidate",39817,0,"male","N/A"
"70","Alabama","District 40","State Representative","Koven ""K.L."" Brown","Pamela Jean Howard",11188,3819,"male","female"
"71","Alabama","District 41","State Representative","Corley Ellis","Emily Anne Marcum",14088,4610,"female","female"
"72","Alabama","District 42","State Representative","James M. ""Jimmy"" Martin","No candidate",12412,0,"male","N/A"
"73","Alabama","District 43","State Representative","Arnold G. Mooney II","Carin Mayo",15035,5847,"male","female"
"74","Alabama","District 44","State Representative","Danny Garrett","No candidate",14597,0,"male","N/A"
"75","Alabama","District 45","State Representative","Dickie Drake","Jenn Gray",13669,7148,"male","female"
"76","Alabama","District 46","State Representative","David Faulkner","Felicia Stewart",13341,8445,"male","female"
"77","Alabama","District 47","State Representative","David Wheeler","Jim Toomey",9170,7721,"male","male"
"78","Alabama","District 48","State Representative","Jim Carns","Alli Summerford",14789,7832,"male","female"
"79","Alabama","District 49","State Representative","April Weaver","No candidate",10794,0,"female","N/A"
"80","Alabama","District 5","State Representative","Danny F. Crawford","Brian D Williams",12395,4725,"male","male"
"81","Alabama","District 5","State Senator","Greg J. Reed","No candidate",42404,0,"male","N/A"
"82","Alabama","District 50","State Representative","Jim Hill","No candidate",14412,0,"male","N/A"
"83","Alabama","District 51","State Representative","Allen Treadaway","Veronica R. Johnson",15390,3174,"male","female"
"84","Alabama","District 52","State Representative","No candidate","John W. Rogers, Jr.",0,13284,"N/A","male"
"85","Alabama","District 53","State Representative","No candidate","Anthony Daniels",0,8375,"N/A","male"
"86","Alabama","District 54","State Representative","No candidate","Neil Rafferty",0,13287,"N/A","male"
"87","Alabama","District 55","State Representative","No candidate","Roderick ""Rod"" Hampton Scott",0,13109,"N/A","male"
"88","Alabama","District 56","State Representative","No candidate","Louise ""Lulu"" Alexander",0,13769,"N/A","female"
"89","Alabama","District 57","State Representative","No candidate","Merika Coleman",0,12831,"N/A","female"
"90","Alabama","District 58","State Representative","No candidate","Rolanda Hollis",0,12498,"N/A","female"
"91","Alabama","District 59","State Representative","No candidate","Mary Moore",0,12036,"N/A","female"
"92","Alabama","District 6","State Representative","Andy Whitt","No candidate",11893,0,"male","N/A"
"93","Alabama","District 6","State Senator","Larry Stutts","Johnny Mack Morrow",22683,21796,"male","male"
"94","Alabama","District 60","State Representative","No candidate","Juandalynn Givan",0,14432,"N/A","female"
"95","Alabama","District 61","State Representative","Rodney Sullivan","Thomas ""Tommy"" Hyche",12407,6491,"male","male"
"96","Alabama","District 62","State Representative","Rich Wingo","Will Benton",11282,5265,"male","male"
"97","Alabama","District 63","State Representative","Bill Poole","No candidate",10239,0,"male","N/A"
"98","Alabama","District 64","State Representative","Harry Shiver","Amber Selman-Lynn",13030,4022,"male","female"
"99","Alabama","District 65","State Representative","Brett Easterbrook","Elaine Beech",10095,9010,"male","female"
"100","Alabama","District 66","State Representative","Alan Baker","Susan E. Smith",10431,4008,"male","female"
"101","Alabama","District 67","State Representative","No candidate","Prince Chestnut",0,11239,"N/A","male"
"102","Alabama","District 68","State Representative","No candidate","Thomas E. ""Action"" Jackson",0,10382,"N/A","male"
"103","Alabama","District 69","State Representative","No candidate","Kelvin Jamichael Lawrence",0,12867,"N/A","male"
"104","Alabama","District 7","State Representative","Proncey Robertson","Kenneth A. Brackins",10892,3592,"Unknown","male"
"105","Alabama","District 7","State Senator","Sam Givhan","Deborah Barros",30080,24363,"male","female"
"106","Alabama","District 70","State Representative","No candidate","Christopher John England",0,11541,"N/A","male"
"107","Alabama","District 71","State Representative","No candidate","Artis ""A.J."" McCampbell",0,12400,"N/A","male"
"108","Alabama","District 72","State Representative","No candidate","Ralph A. Howard",0,12811,"N/A","male"
"109","Alabama","District 73","State Representative","Matt Fridy","Jack Jacobs",12913,5772,"male","male"
"110","Alabama","District 74","State Representative","Dimitri Polizos","Rayford Mack",9449,6160,"male","male"
"111","Alabama","District 75","State Representative","Reed Ingram","No candidate",13229,0,"male","N/A"
"112","Alabama","District 76","State Representative","No candidate","Thad McClammy",0,11681,"N/A","male"
"113","Alabama","District 77","State Representative","No candidate","Tashina Morris",0,10638,"N/A","female"
"114","Alabama","District 78","State Representative","No candidate","Kirk Hatcher",0,9506,"N/A","male"
"115","Alabama","District 79","State Representative","Joe Lovvorn","Mary Wynne Kling",9717,7015,"male","female"
"116","Alabama","District 8","State Representative","Terri Collins","Billy Jackson",8803,5469,"female","male"
"117","Alabama","District 8","State Senator","Steve Livingston","No candidate",37913,0,"male","N/A"
"118","Alabama","District 80","State Representative","Chris E. Blackshear","Christopher F. ""Apostle"" Davis",8506,3407,"male","male"
"119","Alabama","District 81","State Representative","Ed Oliver","Jeremy ""J.J."" Jeffcoat",12823,4696,"male","male"
"120","Alabama","District 82","State Representative","No candidate","Pebblin Walker Warren",0,11411,"N/A","Unknown"
"121","Alabama","District 83","State Representative","Michael J Holden II","Jeremy ""Mr. Eyg"" Gray",5142,8940,"male","male"
"122","Alabama","District 84","State Representative","No candidate","Berry Forte",0,9962,"N/A","male"
"123","Alabama","District 85","State Representative","J. Ron Wilson","Dexter Grimsley",6266,7315,"Unknown","male"
"124","Alabama","District 86","State Representative","Paul W. Lee","Kristy M. Kirkland",11226,3238,"male","female"
"125","Alabama","District 87","State Representative","Jeff Sorrells","No candidate",13835,0,"male","N/A"
"126","Alabama","District 88","State Representative","Will Dismukes","Cory Creel",11500,4793,"male","male"
"127","Alabama","District 89","State Representative","Wes Allen","Joel Lee Williams",7804,5348,"male","male"
"128","Alabama","District 9","State Representative","Scott Stadthagen","No candidate",13297,0,"male","N/A"
"129","Alabama","District 9","State Senator","Clay Scofield","No candidate",35192,0,"male","N/A"
"130","Alabama","District 90","State Representative","Chris Sells","Joanne Whetstone",11063,6051,"male","female"
"131","Alabama","District 91","State Representative","Rhett Marques","No candidate",11445,0,"male","N/A"
"132","Alabama","District 92","State Representative","Mike Jones, Jr.","No candidate",11912,0,"male","N/A"
"133","Alabama","District 93","State Representative","Steve Clouse","No candidate",11974,0,"male","N/A"
"134","Alabama","District 94","State Representative","Joe Faust","Danielle Mashburn-Myrick",15302,6257,"male","female"
"135","Alabama","District 95","State Representative","Steve McMillan","No candidate",17008,0,"male","N/A"
"136","Alabama","District 96","State Representative","Matt Simpson","Maurice Horsey",13699,5019,"male","male"
"137","Alabama","District 97","State Representative","Stephen McNair","Adline C. Clarke",4605,8740,"male","female"
"138","Alabama","District 98","State Representative","No candidate","Napoleon Bracy, Jr.",0,9674,"N/A","male"
"139","Alabama","District 99","State Representative","Charles W. Talbert","Sam Jones",4270,11794,"male","male"
"140","Alaska","District 1","State Representative","Barton S. LeBon","Kathryn E. Dodge",2661,2661,"male","female"
"141","Alaska","District 10","State Representative","David Eastman","Patrici Faye-Brazel",4524,1731,"male","female"
"142","Alaska","District 11","State Representative","DeLena M. Johnson","Eileen E. Patterson",5739,2217,"female","female"
"143","Alaska","District 12","State Representative","Cathy L. Tilton","Stephany Jeffers",6099,1993,"female","female"
"144","Alaska","District 13","State Representative","Nancy A. Dahlstrom","Danyelle D. Kimp",3328,1346,"female","female"
"145","Alaska","District 14","State Representative","Kelly R. Merrick","Joe Hackenmueller",5485,2814,"female","male"
"146","Alaska","District 15","State Representative","Gabrielle LeDoux","Lyn D. Franks",1380,1139,"female","female"
"147","Alaska","District 16","State Representative","Stanley A. Wright","Ivy A. Spohnholz",2618,3249,"male","female"
"148","Alaska","District 17","State Representative","Marcus Sanders","Andrew L. Josephson",2148,3171,"male","male"
"149","Alaska","District 18","State Representative","Anthony C. Lekanoff","Harriet A. Drummond",2034,3771,"male","female"
"150","Alaska","District 19","State Representative","No candidate","Geran Tarr",0,2531,"N/A","male"
"151","Alaska","District 2","State Representative","Steve Thompson","Van Lawrence",2340,1186,"male","male"
"152","Alaska","District 20","State Representative","Ceezar X. Martinson","William Z. Fields",1662,3738,"Unknown","male"
"153","Alaska","District 21","State Representative","Marilyn Stewart","Matt Claman",3364,4058,"female","male"
"154","Alaska","District 22","State Representative","Sara Rasmussen","Dustin Darden",3478,860,"female","male"
"155","Alaska","District 23","State Representative","Connie R. Dougherty","Chris Tuck",2605,2973,"female","male"
"156","Alaska","District 24","State Representative","Charles M. Kopp","Sue Levi",4933,3224,"male","female"
"157","Alaska","District 25","State Representative","Josh C. Revak","Pat Higgins",3637,3356,"male","female"
"158","Alaska","District 26","State Representative","Laddie Shaw","Anita Thorne",4826,2886,"male","female"
"159","Alaska","District 27","State Representative","Lance Pruitt","Liz Snyder",3867,3686,"male","female"
"160","Alaska","District 28","State Representative","Jennifer B Johnston","Amber M. Lee",5557,4628,"female","female"
"161","Alaska","District 29","State Representative","Benjamin Carpenter","Shawn A. Butler",5550,2487,"male","male"
"162","Alaska","District 3","State Representative","Tammie Wilson","No candidate",4854,0,"female","N/A"
"163","Alaska","District 30","State Representative","Gary A. Knopp","No candidate",6187,0,"male","N/A"
"164","Alaska","District 31","State Representative","Sarah L. Vance","Paul Seaton",5243,4236,"female","male"
"165","Alaska","District 32","State Representative","Louise Stutes","Dennis P. Harris",3261,2072,"female","male"
"166","Alaska","District 33","State Representative","No candidate","Sara Hannan",0,5073,"N/A","female"
"167","Alaska","District 34","State Representative","Jerry A. Nankervis","Andrea Story",4110,4650,"male","female"
"168","Alaska","District 35","State Representative","Richard J. Wein","Jona Kreiss-Tomkins",3367,4480,"male","female"
"169","Alaska","District 36","State Representative","Trevor A. Shaw","No candidate",2793,0,"male","N/A"
"170","Alaska","District 37","State Representative","William W Weatherby","Bryce E. Edgmon",1588,2911,"male","male"
"171","Alaska","District 38","State Representative","Darren M. Deacon","Tiffany Zulkosky",2252,2843,"male","female"
"172","Alaska","District 39","State Representative","No candidate","Neal W. Foster",0,4963,"N/A","male"
"173","Alaska","District 4","State Representative","Jim Sackett","Grier Hopkins",3650,4356,"male","female"
"174","Alaska","District 40","State Representative","No candidate","John Lincoln",0,2404,"N/A","male"
"175","Alaska","District 5","State Representative","Kevin McKinley","Adam L. Wool",3057,3484,"male","male"
"176","Alaska","District 6","State Representative","David M. Talerico","Ed Alexander",4001,2722,"male","male"
"177","Alaska","District 7","State Representative","Co Sullivan-Leonard","No candidate",5705,0,"Unknown","N/A"
"178","Alaska","District 8","State Representative","Mark Neuman","James L. Chesbro",5126,1184,"male","male"
"179","Alaska","District 9","State Representative","George Rauscher","Bill Johnson",5209,1962,"male","male"
"180","Alaska","District A","State Senator","Pete Kelly","Scott Kawasaki",4398,4577,"male","male"
"181","Alaska","District C","State Senator","Click Bishop","No candidate",10030,0,"Unknown","N/A"
"182","Alaska","District E","State Senator","Michael K. Shower","Susan Kay",11558,3992,"male","female"
"183","Alaska","District G","State Senator","Lora H. Reinbold","Oliver Schiess",8257,4911,"female","male"
"184","Alaska","District I","State Senator","Jim Crawford","Elvi Gray-Jackson",4462,6724,"male","male"
"185","Alaska","District K","State Senator","Mia Costello","Sam Cason",8389,6281,"female","male"
"186","Alaska","District M","State Senator","No candidate","Janice Park",0,6110,"N/A","female"
"187","Alaska","District O","State Senator","Peter A. Micciche","No candidate",9617,0,"male","N/A"
"188","Alaska","District Q","State Senator","No candidate","Jesse Kiehl",0,11121,"N/A","male"
"189","Alaska","District S","State Senator","No candidate","Lyman F. Hoffman",0,8175,"N/A","male"
"190","Arizona","District 1","State Representative","David Stringer","Ed Gogek",67023,30055,"male","male"
"191","Arizona","District 1","State Representative","Noel Campbell","Jan Manolis",70130,32706,"male","female"
"192","Arizona","District 1","State Senator","Karen Fann","Jo Craycraft",76856,33554,"female","female"
"193","Arizona","District 10","State Representative","Todd Clodfelter","Domingo DeGrazia",38697,42716,"male","male"
"194","Arizona","District 10","State Representative","No candidate","Kirsten Engel",0,49163,"N/A","female"
"195","Arizona","District 10","State Senator","Marilyn Wiles","David Bradley",37187,52376,"female","male"
"196","Arizona","District 11","State Representative","Bret Roberts","Hollace Lyon",48676,37992,"male","female"
"197","Arizona","District 11","State Representative","Mark Finchem","Marcela Quiroz",48563,37265,"male","female"
"198","Arizona","District 11","State Senator","Venden """"Vince"""" Leach","Ralph Atchue",53232,43273,"Unknown","male"
"199","Arizona","District 12","State Representative","Travis Grantham","Joe Bisaccia",58928,37597,"male","male"
"200","Arizona","District 12","State Representative","Warren Petersen","Lynsey Robinson",59095,39841,"male","female"
"201","Arizona","District 12","State Senator","Eddie Farnsworth","Elizabeth Brown",60959,44449,"male","female"
"202","Arizona","District 13","State Representative","Joanne Osborne","Thomas Tzitzura",43780,28523,"female","male"
"203","Arizona","District 13","State Representative","Timothy """"Tim"""" Dunn","No candidate",46602,0,"male","N/A"
"204","Arizona","District 13","State Senator","Sine Kerr","Michelle Harris",50432,30215,"Unknown","female"
"205","Arizona","District 14","State Representative","Becky Nutt","Bob Karp",46155,24539,"female","male"
"206","Arizona","District 14","State Representative","Gail Griffin","Shelley Renne-Leon",46797,25651,"female","female"
"207","Arizona","District 14","State Senator","David Gowan","Jaime Alvarez",48131,31368,"male","male"
"208","Arizona","District 15","State Representative","John Allen","Jennifer Samuels",49279,38565,"male","female"
"209","Arizona","District 15","State Representative","Nancy Barto","Julie Gunnigle",51305,37308,"female","female"
"210","Arizona","District 15","State Senator","Heather Carter","Kristin Dybvig-Pawelko",57264,37971,"female","female"
"211","Arizona","District 16","State Representative","John Fillmore","Sharon Stinard",46000,32018,"male","female"
"212","Arizona","District 16","State Representative","Kelly Townsend","No candidate",49643,0,"female","N/A"
"213","Arizona","District 16","State Senator","David Christian Farnsworth","Benjamin """"Ben"""" Carmitchel",51406,32261,"male","male"
"214","Arizona","District 17","State Representative","Jeff Weninger","Jennifer Pawlik",46520,46874,"male","female"
"215","Arizona","District 17","State Representative","Nora Ellen","No candidate",43437,0,"female","N/A"
"216","Arizona","District 17","State Senator","J.D. Mesnard","Steve Weichert",48008,46264,"Unknown","male"
"217","Arizona","District 18","State Representative","Greg Patterson","Denise """"Mitzi"""" Epstein",39578,52992,"male","female"
"218","Arizona","District 18","State Representative","Jill Norgaard","Jennifer Jermaine",44269,50253,"female","female"
"219","Arizona","District 18","State Senator","Frank Schmuck","Sean Bowie",43575,57401,"male","male"
"220","Arizona","District 19","State Representative","No candidate","Diego Espinoza",0,26428,"N/A","male"
"221","Arizona","District 19","State Representative","No candidate","Lorenzo Sierra",0,23319,"N/A","male"
"222","Arizona","District 19","State Senator","No candidate","Lupe Chavira Contreras",0,32872,"N/A","female"
"223","Arizona","District 2","State Representative","Anthony Sizer","Daniel Hernandez Jr",21543,30613,"male","male"
"224","Arizona","District 2","State Representative","John Christopher Ackerley","Rosanna Gabaldon",21927,30481,"male","female"
"225","Arizona","District 2","State Senator","Shelley Kais","Andrea Dalessandro",24925,36893,"female","female"
"226","Arizona","District 20","State Representative","Anthony Kern","Christopher """"Chris"""" Gilfillan",34249,30855,"male","male"
"227","Arizona","District 20","State Representative","Shawnna Bolick","Hazel Chandler",33848,31979,"female","female"
"228","Arizona","District 20","State Senator","Paul Boyer","Douglas Ervin",35170,32352,"male","male"
"229","Arizona","District 21","State Representative","Kevin Payne","Bradley Hughes",41536,31348,"male","male"
"230","Arizona","District 21","State Representative","Tony Rivero","Gilbert Romero",39275,31756,"male","male"
"231","Arizona","District 21","State Senator","Rick Gray","No candidate",40869,0,"male","N/A"
"232","Arizona","District 22","State Representative","Ben Toma","Teri Sarmiento",65310,38895,"male","female"
"233","Arizona","District 22","State Representative","Frank Carroll","Valerie Harris",64729,37832,"male","female"
"234","Arizona","District 22","State Senator","David Livingston","Wendy Garcia",70775,40957,"male","female"
"235","Arizona","District 23","State Representative","Jay Lawrence","Eric Kurland",57099,51893,"male","male"
"236","Arizona","District 23","State Representative","John Kavanagh","No candidate",62797,0,"male","N/A"
"237","Arizona","District 23","State Senator","Michelle Ugenti-Rita","Daria Lohman",67852,45344,"female","female"
"238","Arizona","District 24","State Representative","David Alger Srre","Amish Shah",18853,39363,"male","male"
"239","Arizona","District 24","State Representative","No candidate","Jennifer Longdon",0,40520,"N/A","female"
"240","Arizona","District 24","State Senator","Vicki Alger","Lela Alston",18772,48245,"female","female"
"241","Arizona","District 25","State Representative","Michelle Udall","Johnny Martin",52075,31540,"female","male"
"242","Arizona","District 25","State Representative","Russell W. """"Rusty"""" Bowers","No candidate",47067,0,"male","N/A"
"243","Arizona","District 25","State Senator","Tyler Pace","Kathy Mohr-Almeida",52208,32268,"male","female"
"244","Arizona","District 26","State Representative","Raymond D Speakman","Athena Salman",16676,29540,"male","female"
"245","Arizona","District 26","State Representative","No candidate","Isela Blanc",0,28039,"N/A","female"
"246","Arizona","District 26","State Senator","Rebecca Speakman","Juan Mendez",17086,32812,"female","male"
"247","Arizona","District 27","State Representative","No candidate","Diego Rodriguez",0,31521,"N/A","male"
"248","Arizona","District 27","State Representative","No candidate","Reginald Bolding",0,28360,"N/A","male"
"249","Arizona","District 27","State Senator","No candidate","Rebecca Rios",0,40012,"N/A","female"
"250","Arizona","District 28","State Representative","Kathy Pappas Petsas","Aaron Lieberman",40064,43196,"female","male"
"251","Arizona","District 28","State Representative","Maria Syms","Kelli Butler",40798,48003,"female","female"
"252","Arizona","District 28","State Senator","Kate Brophy McGee","Christine Porter Marsh",47278,47011,"female","female"
"253","Arizona","District 29","State Representative","No candidate","Cesar Chavez",0,23631,"N/A","male"
"254","Arizona","District 29","State Representative","No candidate","Richard Andrade",0,19258,"N/A","male"
"255","Arizona","District 29","State Senator","No candidate","Martin J. Quezada",0,29003,"N/A","male"
"256","Arizona","District 3","State Representative","No candidate","Alma Hernandez",0,34577,"N/A","female"
"257","Arizona","District 3","State Representative","No candidate","Andres Cano",0,31482,"N/A","male"
"258","Arizona","District 3","State Senator","No candidate","Sally Ann Gonzales",0,45529,"N/A","female"
"259","Arizona","District 30","State Representative","Gary Spears","Raquel Teran",12329,20831,"male","female"
"260","Arizona","District 30","State Representative","No candidate","Robert Meza",0,19794,"N/A","male"
"261","Arizona","District 30","State Senator","No candidate","Otoniel """"Tony"""" Navarrete",0,28574,"N/A","male"
"262","Arizona","District 4","State Representative","No candidate","Charlene Fernandez",0,26541,"N/A","female"
"263","Arizona","District 4","State Representative","No candidate","Geraldine """"Gerae"""" Peten",0,19410,"N/A","female"
"264","Arizona","District 4","State Senator","No candidate","Lisa Otondo",0,33034,"N/A","female"
"265","Arizona","District 5","State Representative","Leo Biaslucci","Mary McCord Robinson",39260,18566,"male","female"
"266","Arizona","District 5","State Representative","Regina Cobb","No candidate",46928,0,"female","N/A"
"267","Arizona","District 5","State Senator","Sonny Borrelli","J'aime Morgaine",56454,18530,"male","Unknown"
"268","Arizona","District 6","State Representative","Bob Thorpe","Bobby Tyler",44314,37656,"male","male"
"269","Arizona","District 6","State Representative","Walter """"Walt"""" Blackman","Felicia French",45210,43737,"male","female"
"270","Arizona","District 6","State Senator","Sylvia Tenney Allen","Wade Carlisle",48044,46332,"female","male"
"271","Arizona","District 7","State Representative","Doyel Shamley","Arlando Teller",22677,26810,"male","male"
"272","Arizona","District 7","State Representative","No candidate","Myron Tsosie",0,34739,"N/A","male"
"273","Arizona","District 7","State Senator","JL Mealer","Jamescita Peshlakai",21091,43179,"male","Unknown"
"274","Arizona","District 8","State Representative","David Cook","Carmen Casillas",28421,21171,"male","female"
"275","Arizona","District 8","State Representative","Thomas """"T.J."""" Shope","Linda C Gross",28150,19530,"male","female"
"276","Arizona","District 8","State Senator","Frank Pratt","Sharon Girard",31181,24360,"male","female"
"277","Arizona","District 9","State Representative","Ana Henderson","Pamela Powers Hannley",36613,49011,"female","female"
"278","Arizona","District 9","State Representative","No candidate","Randall """"Randy"""" Friese",0,49755,"N/A","male"
"279","Arizona","District 9","State Senator","Randy Fleenor","Victoria Steele",34758,58571,"male","female"
"280","Arkansas","District 11","State Representative","Ricky E. Lattimore, Sr.","Don Glover",2092,3609,"male","male"
"281","Arkansas","District 12","State Representative","Jason Dobson","Chris Richey",2607,4086,"male","male"
"282","Arkansas","District 15","State Representative","Ken Bragg","No candidate",7892,0,"male","N/A"
"283","Arkansas","District 17","State Representative","No candidate","Vivian Flowers",0,4592,"N/A","female"
"284","Arkansas","District 19","State Representative","Justin Gonzales","Jeremy Ross",5270,2657,"male","male"
"285","Arkansas","District 21","State Representative","Marcus E. Richmond","Stele Wayne James",6896,1871,"male","Unknown"
"286","Arkansas","District 22","State Representative","Mickey Gates","Kevin Rogers",8293,4390,"male","male"
"287","Arkansas","District 24","State Representative","Bruce Cozart","Kallen K. Peret",6460,2913,"male","male"
"288","Arkansas","District 26","State Representative","Laurie Rushing","Alan Bruce Hughes",5083,3246,"female","male"
"289","Arkansas","District 28","State Representative","Jasen Kelly","Dustin M. Parsons",5898,2806,"male","male"
"290","Arkansas","District 30","State Representative","No candidate","Fred Allen",0,8281,"N/A","male"
"291","Arkansas","District 31","State Representative","Andy Davis","Randy S. Haun",9676,4707,"male","male"
"292","Arkansas","District 32","State Representative","Jim Sorvillo","Jess Mallett",7144,6339,"male","male"
"293","Arkansas","District 35","State Representative","Judith Goodson","Andrew Collins",5174,8099,"female","male"
"294","Arkansas","District 38","State Representative","Carlton Wing","Chase Mangiapane",6125,5360,"male","male"
"295","Arkansas","District 39","State Representative","Mark Lowery","Monica D. Ball",6069,5082,"male","female"
"296","Arkansas","District 41","State Representative","Karilyn Brown","Jonathan Wayne Crossley",6345,5422,"female","male"
