"","year","state","district","office","candidate","total_votes","vote_prop","gender","winner_party","candidate_party","race_ethnicity"
"35",2018,"Alabama","District 22","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"36",2018,"Alabama","District 22","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"37",2018,"Alabama","District 23","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"38",2018,"Alabama","District 23","State Senator","Malika Sanders-Fortier",29920,0.660500231793196,"female","Democrat","Democrat","Black/African American"
"39",2018,"Alabama","District 24","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"40",2018,"Alabama","District 24","State Senator","Bobby Singleton",37394,1,"male","Democrat","Democrat","Missing"
"41",2018,"Alabama","District 25","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"42",2018,"Alabama","District 25","State Senator","David A. Sadler",20866,0.387160218944243,"male","Republican","Democrat","Missing"
"43",2018,"Alabama","District 26","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"44",2018,"Alabama","District 26","State Senator","David ""Coach"" Burkette",31973,0.802615724470328,"male","Democrat","Democrat","Missing"
"45",2018,"Alabama","District 27","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"46",2018,"Alabama","District 27","State Senator","Nancy Carlton Bendinger",20586,0.409044846702565,"female","Republican","Democrat","Missing"
"47",2018,"Alabama","District 28","State Representative","Kyle Pierce",5731,0.446966151926377,"male","Republican","Democrat","Missing"
"48",2018,"Alabama","District 28","State Senator","Billy Beasley",28442,1,"male","Democrat","Democrat","Missing"
"49",2018,"Alabama","District 29","State Representative","Jared Millican",3032,0.208241758241758,"male","Republican","Democrat","Missing"
"50",2018,"Alabama","District 29","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"51",2018,"Alabama","District 3","State Representative","Chad Young",8540,0.474760951745608,"male","Republican","Democrat","Missing"
"52",2018,"Alabama","District 3","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"53",2018,"Alabama","District 30","State Representative","Jared Vaughn",2931,0.1754039497307,"male","Republican","Democrat","Missing"
"54",2018,"Alabama","District 30","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"55",2018,"Alabama","District 31","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"56",2018,"Alabama","District 31","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"57",2018,"Alabama","District 32","State Representative","Barbara Bigsby Boyd",7761,0.632312204660258,"female","Democrat","Democrat","Missing"
"58",2018,"Alabama","District 32","State Senator","Jason Fisher",15193,0.249396739933354,"male","Republican","Democrat","Missing"
"59",2018,"Alabama","District 33","State Representative","Scott Brewer",4928,0.326725452496188,"male","Republican","Democrat","Missing"
"60",2018,"Alabama","District 33","State Senator","Vivian Davis Figures",34995,1,"female","Democrat","Democrat","Missing"
"61",2018,"Alabama","District 34","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"62",2018,"Alabama","District 35","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"63",2018,"Alabama","District 35","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"64",2018,"Alabama","District 36","State Representative","Nicki Arnold-Swindle",4256,0.271862024912169,"female","Republican","Democrat","Missing"
"65",2018,"Alabama","District 37","State Representative","Charlotte A. Clark-Frieson",4505,0.287712351513603,"female","Republican","Democrat","Missing"
"66",2018,"Alabama","District 38","State Representative","Brian McGee",4944,0.3071761416589,"male","Republican","Democrat","Missing"
"67",2018,"Alabama","District 39","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"68",2018,"Alabama","District 4","State Representative","Jo Ann Cummings",4325,0.25412773958517,"female","Republican","Democrat","Missing"
"69",2018,"Alabama","District 4","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"70",2018,"Alabama","District 40","State Representative","Pamela Jean Howard",3819,0.254481242087026,"female","Republican","Democrat","Missing"
"71",2018,"Alabama","District 41","State Representative","Emily Anne Marcum",4610,0.246550433201412,"female","Republican","Democrat","Missing"
"72",2018,"Alabama","District 42","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"73",2018,"Alabama","District 43","State Representative","Carin Mayo",5847,0.280001915525333,"female","Republican","Democrat","Missing"
"74",2018,"Alabama","District 44","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"75",2018,"Alabama","District 45","State Representative","Jenn Gray",7148,0.3433732045924,"female","Republican","Democrat","Missing"
"76",2018,"Alabama","District 46","State Representative","Felicia Stewart",8445,0.387634260534288,"female","Republican","Democrat","Missing"
"77",2018,"Alabama","District 47","State Representative","Jim Toomey",7721,0.457107335267302,"male","Republican","Democrat","Missing"
"78",2018,"Alabama","District 48","State Representative","Alli Summerford",7832,0.346226957252111,"female","Republican","Democrat","Missing"
"79",2018,"Alabama","District 49","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"80",2018,"Alabama","District 5","State Representative","Brian D Williams",4725,0.275992990654206,"male","Republican","Democrat","Missing"
"81",2018,"Alabama","District 5","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"82",2018,"Alabama","District 50","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"83",2018,"Alabama","District 51","State Representative","Veronica R. Johnson",3174,0.170976082740789,"female","Republican","Democrat","Missing"
"84",2018,"Alabama","District 52","State Representative","John W. Rogers, Jr.",13284,1,"male","Democrat","Democrat","Missing"
"85",2018,"Alabama","District 53","State Representative","Anthony Daniels",8375,1,"male","Democrat","Democrat","Missing"
"86",2018,"Alabama","District 54","State Representative","Neil Rafferty",13287,0.902465530122937,"male","Democrat","Democrat","Missing"
"87",2018,"Alabama","District 55","State Representative","Roderick ""Rod"" Hampton Scott",13109,1,"male","Democrat","Democrat","Missing"
"88",2018,"Alabama","District 56","State Representative","Louise ""Lulu"" Alexander",13769,1,"female","Democrat","Democrat","Missing"
"89",2018,"Alabama","District 57","State Representative","Merika Coleman",12831,1,"female","Democrat","Democrat","Missing"
"90",2018,"Alabama","District 58","State Representative","Rolanda Hollis",12498,1,"female","Democrat","Democrat","Black/African American"
"91",2018,"Alabama","District 59","State Representative","Mary Moore",12036,1,"female","Democrat","Democrat","Black/African American"
"92",2018,"Alabama","District 6","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"93",2018,"Alabama","District 6","State Senator","Johnny Mack Morrow",21796,0.490029002450595,"male","Republican","Democrat","Missing"
"94",2018,"Alabama","District 60","State Representative","Juandalynn Givan",14432,1,"female","Democrat","Democrat","Black/African American"
"95",2018,"Alabama","District 61","State Representative","Thomas ""Tommy"" Hyche",6491,0.343475500052916,"male","Republican","Democrat","Missing"
"96",2018,"Alabama","District 62","State Representative","Will Benton",5265,0.318184565177978,"male","Republican","Democrat","Missing"
"97",2018,"Alabama","District 63","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"98",2018,"Alabama","District 64","State Representative","Amber Selman-Lynn",4022,0.235866760497302,"female","Republican","Democrat","Missing"
"99",2018,"Alabama","District 65","State Representative","Elaine Beech",9010,0.471604292070139,"female","Republican","Democrat","White"
"100",2018,"Alabama","District 66","State Representative","Susan E. Smith",4008,0.277581549968834,"female","Republican","Democrat","Missing"
"101",2018,"Alabama","District 67","State Representative","Prince Chestnut",11239,1,"male","Democrat","Democrat","Missing"
"102",2018,"Alabama","District 68","State Representative","Thomas E. ""Action"" Jackson",10382,1,"male","Democrat","Democrat","Missing"
"103",2018,"Alabama","District 69","State Representative","Kelvin Jamichael Lawrence",12867,1,"male","Democrat","Democrat","Missing"
"104",2018,"Alabama","District 7","State Representative","Kenneth A. Brackins",3592,0.247997790665562,"male","Republican","Democrat","Missing"
"105",2018,"Alabama","District 7","State Senator","Deborah Barros",24363,0.447495545800195,"female","Republican","Democrat","Missing"
"106",2018,"Alabama","District 70","State Representative","Christopher John England",11541,1,"male","Democrat","Democrat","Missing"
"107",2018,"Alabama","District 71","State Representative","Artis ""A.J."" McCampbell",12400,1,"male","Democrat","Democrat","Missing"
"108",2018,"Alabama","District 72","State Representative","Ralph A. Howard",12811,1,"male","Democrat","Democrat","Missing"
"109",2018,"Alabama","District 73","State Representative","Jack Jacobs",5772,0.308910891089109,"male","Republican","Democrat","Missing"
"110",2018,"Alabama","District 74","State Representative","Rayford Mack",6160,0.394644115574348,"male","Republican","Democrat","Missing"
"111",2018,"Alabama","District 75","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"112",2018,"Alabama","District 76","State Representative","Thad McClammy",11681,1,"male","Democrat","Democrat","Missing"
"113",2018,"Alabama","District 77","State Representative","Tashina Morris",10638,1,"female","Democrat","Democrat","Black/African American"
"114",2018,"Alabama","District 78","State Representative","Kirk Hatcher",9506,0.836354038360021,"male","Democrat","Democrat","Missing"
"115",2018,"Alabama","District 79","State Representative","Mary Wynne Kling",7015,0.419256514463304,"female","Republican","Democrat","Missing"
"116",2018,"Alabama","District 8","State Representative","Billy Jackson",5469,0.383197869955157,"male","Republican","Democrat","Missing"
"117",2018,"Alabama","District 8","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"118",2018,"Alabama","District 80","State Representative","Christopher F. ""Apostle"" Davis",3407,0.285990094854361,"male","Republican","Democrat","Missing"
"119",2018,"Alabama","District 81","State Representative","Jeremy ""J.J."" Jeffcoat",4696,0.26805182944232,"male","Republican","Democrat","Missing"
"120",2018,"Alabama","District 82","State Representative","Pebblin Walker Warren",11411,1,"Unknown","Democrat","Democrat","Missing"
"121",2018,"Alabama","District 83","State Representative","Jeremy ""Mr. Eyg"" Gray",8940,0.634853003834683,"male","Democrat","Democrat","Missing"
"122",2018,"Alabama","District 84","State Representative","Berry Forte",9962,1,"male","Democrat","Democrat","Missing"
"123",2018,"Alabama","District 85","State Representative","Dexter Grimsley",7315,0.538620131065459,"male","Democrat","Democrat","Missing"
"124",2018,"Alabama","District 86","State Representative","Kristy M. Kirkland",3238,0.223866150442478,"female","Republican","Democrat","Missing"
"125",2018,"Alabama","District 87","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"126",2018,"Alabama","District 88","State Representative","Cory Creel",4793,0.294175412753943,"male","Republican","Democrat","Missing"
"127",2018,"Alabama","District 89","State Representative","Joel Lee Williams",5348,0.406630170316302,"male","Republican","Democrat","Missing"
"128",2018,"Alabama","District 9","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"129",2018,"Alabama","District 9","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"130",2018,"Alabama","District 90","State Representative","Joanne Whetstone",6051,0.353570176463714,"female","Republican","Democrat","Missing"
"131",2018,"Alabama","District 91","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"132",2018,"Alabama","District 92","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"133",2018,"Alabama","District 93","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"134",2018,"Alabama","District 94","State Representative","Danielle Mashburn-Myrick",6257,0.290226819425762,"female","Republican","Democrat","Missing"
"135",2018,"Alabama","District 95","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"136",2018,"Alabama","District 96","State Representative","Maurice Horsey",5019,0.253177966101695,"male","Republican","Democrat","Missing"
"137",2018,"Alabama","District 97","State Representative","Adline C. Clarke",8740,0.654926938928438,"female","Democrat","Democrat","Missing"
"138",2018,"Alabama","District 98","State Representative","Napoleon Bracy, Jr.",9674,1,"male","Democrat","Democrat","Missing"
"139",2018,"Alabama","District 99","State Representative","Sam Jones",11794,0.734188247011952,"male","Democrat","Democrat","Missing"
"140",2018,"Alaska","District 1","State Representative","Kathryn E. Dodge",2661,0.5,"female","Other","Democrat","Missing"
"141",2018,"Alaska","District 10","State Representative","Patrici Faye-Brazel",1731,0.219921229831025,"female","Republican","Democrat","Missing"
"142",2018,"Alaska","District 11","State Representative","Eileen E. Patterson",2217,0.278657616892911,"female","Republican","Democrat","Missing"
"143",2018,"Alaska","District 12","State Representative","Stephany Jeffers",1993,0.246292634700939,"female","Republican","Democrat","Missing"
"144",2018,"Alaska","District 13","State Representative","Danyelle D. Kimp",1346,0.287976037655113,"female","Republican","Democrat","Missing"
"145",2018,"Alaska","District 14","State Representative","Joe Hackenmueller",2814,0.339076997228582,"male","Republican","Democrat","Missing"
"146",2018,"Alaska","District 15","State Representative","Lyn D. Franks",1139,0.45216355696705,"female","Republican","Democrat","Missing"
"147",2018,"Alaska","District 16","State Representative","Ivy A. Spohnholz",3249,0.553775353673087,"female","Democrat","Democrat","Missing"
"148",2018,"Alaska","District 17","State Representative","Andrew L. Josephson",3171,0.596164692611393,"male","Democrat","Democrat","Missing"
"149",2018,"Alaska","District 18","State Representative","Harriet A. Drummond",3771,0.649612403100775,"female","Democrat","Democrat","Missing"
"150",2018,"Alaska","District 19","State Representative","Geran Tarr",2531,0.676376269374666,"male","Democrat","Democrat","White"
"151",2018,"Alaska","District 2","State Representative","Van Lawrence",1186,0.336358479863868,"male","Republican","Democrat","Missing"
"152",2018,"Alaska","District 20","State Representative","William Z. Fields",3738,0.65625,"male","Democrat","Democrat","Missing"
"153",2018,"Alaska","District 21","State Representative","Matt Claman",4058,0.546752896793317,"male","Democrat","Democrat","Missing"
"154",2018,"Alaska","District 22","State Representative","Dustin Darden",860,0.116705116026598,"male","Republican","Democrat","Missing"
"155",2018,"Alaska","District 23","State Representative","Chris Tuck",2973,0.532986733596271,"male","Democrat","Democrat","Missing"
"156",2018,"Alaska","District 24","State Representative","Sue Levi",3224,0.395243349270565,"female","Republican","Democrat","Missing"
"157",2018,"Alaska","District 25","State Representative","Pat Higgins",3356,0.47990847990848,"female","Republican","Democrat","Missing"
"158",2018,"Alaska","District 26","State Representative","Anita Thorne",2886,0.374221991701245,"female","Republican","Democrat","Missing"
"159",2018,"Alaska","District 27","State Representative","Liz Snyder",3686,0.488018006090295,"female","Republican","Democrat","Missing"
"160",2018,"Alaska","District 28","State Representative","Amber M. Lee",4628,0.454393716249386,"female","Republican","Democrat","Missing"
"161",2018,"Alaska","District 29","State Representative","Shawn A. Butler",2487,0.309443822321762,"male","Republican","Democrat","Missing"
"162",2018,"Alaska","District 3","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"163",2018,"Alaska","District 30","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"164",2018,"Alaska","District 31","State Representative","Paul Seaton",4236,0.446882582550902,"male","Republican","Democrat","Missing"
"165",2018,"Alaska","District 32","State Representative","Dennis P. Harris",2072,0.339672131147541,"male","Republican","Democrat","Missing"
"166",2018,"Alaska","District 33","State Representative","Sara Hannan",5073,0.568212365591398,"female","Democrat","Democrat","White"
"167",2018,"Alaska","District 34","State Representative","Andrea Story",4650,0.530821917808219,"female","Democrat","Democrat","Missing"
"168",2018,"Alaska","District 35","State Representative","Jona Kreiss-Tomkins",4480,0.570918822479929,"female","Democrat","Democrat","Missing"
"169",2018,"Alaska","District 36","State Representative","No candidate",0,0,"N/A","Other","Democrat","Missing"
"170",2018,"Alaska","District 37","State Representative","Bryce E. Edgmon",2911,0.647032673927539,"male","Democrat","Democrat","Missing"
"171",2018,"Alaska","District 38","State Representative","Tiffany Zulkosky",2843,0.557998037291462,"female","Democrat","Democrat","Native American"
"172",2018,"Alaska","District 39","State Representative","Neal W. Foster",4963,1,"male","Democrat","Democrat","Missing"
"173",2018,"Alaska","District 4","State Representative","Grier Hopkins",4356,0.518509701226045,"female","Democrat","Democrat","Missing"
"174",2018,"Alaska","District 40","State Representative","John Lincoln",2404,0.771749598715891,"male","Democrat","Democrat","Missing"
"175",2018,"Alaska","District 40","State Representative","No candidate",0,0,"N/A","Other","Democrat","Missing"
"176",2018,"Alaska","District 5","State Representative","Adam L. Wool",3484,0.532640269072007,"male","Democrat","Democrat","Missing"
"177",2018,"Alaska","District 6","State Representative","Ed Alexander",2722,0.404878774356686,"male","Republican","Democrat","Missing"
"178",2018,"Alaska","District 7","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"179",2018,"Alaska","District 8","State Representative","James L. Chesbro",1184,0.167302529320333,"male","Republican","Democrat","Missing"
"180",2018,"Alaska","District 9","State Representative","Bill Johnson",1962,0.255269320843091,"male","Republican","Democrat","Missing"
"181",2018,"Alaska","District A","State Senator","Scott Kawasaki",4577,0.509972144846797,"male","Democrat","Democrat","Missing"
"182",2018,"Alaska","District C","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"183",2018,"Alaska","District E","State Senator","Susan Kay",3992,0.256720257234727,"female","Republican","Democrat","Missing"
"184",2018,"Alaska","District G","State Senator","Oliver Schiess",4911,0.37294957472661,"male","Republican","Democrat","Missing"
"185",2018,"Alaska","District I","State Senator","Elvi Gray-Jackson",6724,0.60110852851779,"male","Democrat","Democrat","Black/African American"
"186",2018,"Alaska","District K","State Senator","Sam Cason",6281,0.42815269256987,"male","Republican","Democrat","Missing"
"187",2018,"Alaska","District M","State Senator","Janice Park",6110,1,"female","Democrat","Democrat","Missing"
"188",2018,"Alaska","District O","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"189",2018,"Alaska","District Q","State Senator","Jesse Kiehl",11121,0.620453023878599,"male","Democrat","Democrat","Missing"
"190",2018,"Alaska","District S","State Senator","Lyman F. Hoffman",8175,1,"male","Democrat","Democrat","Missing"
"191",2018,"Arizona","District 1","State Representative","Ed Gogek",30055,0.309596407012917,"male","Republican","Democrat","Missing"
"192",2018,"Arizona","District 1","State Representative","Jan Manolis",32706,0.318040374965965,"female","Republican","Democrat","Missing"
"193",2018,"Arizona","District 1","State Senator","Jo Craycraft",33554,0.303903631917399,"female","Republican","Democrat","Missing"
"194",2018,"Arizona","District 10","State Representative","Domingo DeGrazia",42716,0.478294460804622,"male","Democrat","Democrat","Missing"
"195",2018,"Arizona","District 10","State Representative","Kirsten Engel",49163,1,"female","Democrat","Democrat","White"
"196",2018,"Arizona","District 10","State Senator","David Bradley",52376,0.584795060460235,"male","Democrat","Democrat","Missing"
"197",2018,"Arizona","District 11","State Representative","Hollace Lyon",37992,0.438362486730973,"female","Republican","Democrat","Missing"
"198",2018,"Arizona","District 11","State Representative","Marcela Quiroz",37265,0.434182318124621,"female","Republican","Democrat","Missing"
"199",2018,"Arizona","District 11","State Senator","Ralph Atchue",43273,0.44345723040346,"male","Republican","Democrat","Missing"
"200",2018,"Arizona","District 12","State Representative","Joe Bisaccia",37597,0.389505309505309,"male","Republican","Democrat","Missing"
"201",2018,"Arizona","District 12","State Representative","Lynsey Robinson",39841,0.40269467130266,"female","Republican","Democrat","Missing"
"202",2018,"Arizona","District 12","State Senator","Elizabeth Brown",44449,0.421685261080753,"female","Republican","Democrat","Missing"
"203",2018,"Arizona","District 13","State Representative","Thomas Tzitzura",28523,0.394492621329682,"male","Republican","Democrat","Missing"
"204",2018,"Arizona","District 13","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"205",2018,"Arizona","District 13","State Senator","Michelle Harris",30215,0.374657457809962,"female","Republican","Democrat","Missing"
"206",2018,"Arizona","District 14","State Representative","Bob Karp",24539,0.347115738252186,"male","Republican","Democrat","Missing"
"207",2018,"Arizona","District 14","State Representative","Shelley Renne-Leon",25651,0.354060843639576,"female","Republican","Democrat","Missing"
"208",2018,"Arizona","District 14","State Senator","Jaime Alvarez",31368,0.394571000893093,"male","Republican","Democrat","Missing"
"209",2018,"Arizona","District 15","State Representative","Jennifer Samuels",38565,0.439016893584081,"female","Republican","Democrat","Missing"
"210",2018,"Arizona","District 15","State Representative","Julie Gunnigle",37308,0.421021746244908,"female","Republican","Democrat","Missing"
"211",2018,"Arizona","District 15","State Senator","Kristin Dybvig-Pawelko",37971,0.398708458024886,"female","Republican","Democrat","Missing"
"212",2018,"Arizona","District 16","State Representative","Sharon Stinard",32018,0.357088686652391,"female","Republican","Democrat","Missing"
"213",2018,"Arizona","District 16","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"214",2018,"Arizona","District 16","State Senator","Benjamin """"Ben"""" Carmitchel",32261,0.385588105226672,"male","Republican","Democrat","Missing"
"215",2018,"Arizona","District 17","State Representative","Jennifer Pawlik",46874,0.501895196693578,"female","Democrat","Democrat","White"
"216",2018,"Arizona","District 17","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"217",2018,"Arizona","District 17","State Senator","Steve Weichert",46264,0.490750169721656,"male","Republican","Democrat","Missing"
"218",2018,"Arizona","District 18","State Representative","Denise """"Mitzi"""" Epstein",52992,0.572453278599978,"female","Democrat","Democrat","Missing"
"219",2018,"Arizona","District 18","State Representative","Jennifer Jermaine",50253,0.531654006474683,"female","Democrat","Democrat","Multiracial, White/Caucasian, Native American"
"220",2018,"Arizona","District 18","State Senator","Sean Bowie",57401,0.56846181270797,"male","Democrat","Democrat","Missing"
"221",2018,"Arizona","District 19","State Representative","Diego Espinoza",26428,1,"male","Democrat","Democrat","Missing"
"222",2018,"Arizona","District 19","State Representative","Lorenzo Sierra",23319,1,"male","Democrat","Democrat","Missing"
"223",2018,"Arizona","District 19","State Senator","Lupe Chavira Contreras",32872,1,"female","Democrat","Democrat","Missing"
"224",2018,"Arizona","District 2","State Representative","Daniel Hernandez Jr",30613,0.586950686402332,"male","Democrat","Democrat","Missing"
"225",2018,"Arizona","District 2","State Representative","Rosanna Gabaldon",30481,0.581609677911769,"female","Democrat","Democrat","Hispanic/Latina"
"226",2018,"Arizona","District 2","State Senator","Andrea Dalessandro",36893,0.59680028470672,"female","Democrat","Democrat","White"
"227",2018,"Arizona","District 20","State Representative","Christopher """"Chris"""" Gilfillan",30855,0.473934013271074,"male","Republican","Democrat","Missing"
"228",2018,"Arizona","District 20","State Representative","Hazel Chandler",31979,0.485803697570906,"female","Republican","Democrat","Missing"
"229",2018,"Arizona","District 20","State Senator","Douglas Ervin",32352,0.479132727111164,"male","Republican","Democrat","Missing"
"230",2018,"Arizona","District 21","State Representative","Bradley Hughes",31348,0.430108117007848,"male","Republican","Democrat","Missing"
"231",2018,"Arizona","District 21","State Representative","Gilbert Romero",31756,0.447072405006265,"male","Republican","Democrat","Missing"
"232",2018,"Arizona","District 21","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"233",2018,"Arizona","District 22","State Representative","Teri Sarmiento",38895,0.373254642291637,"female","Republican","Democrat","Missing"
"234",2018,"Arizona","District 22","State Representative","Valerie Harris",37832,0.368873158413042,"female","Republican","Democrat","Missing"
"235",2018,"Arizona","District 22","State Senator","Wendy Garcia",40957,0.366564636809508,"female","Republican","Democrat","Missing"
"236",2018,"Arizona","District 23","State Representative","Eric Kurland",51893,0.476117513211979,"male","Republican","Democrat","Missing"
"237",2018,"Arizona","District 23","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"238",2018,"Arizona","District 23","State Senator","Daria Lohman",45344,0.400579525778296,"female","Republican","Democrat","Missing"
"239",2018,"Arizona","District 24","State Representative","Amish Shah",39363,0.676154321835921,"male","Democrat","Democrat","Missing"
"240",2018,"Arizona","District 24","State Representative","Jennifer Longdon",40520,1,"female","Democrat","Democrat","White"
"241",2018,"Arizona","District 24","State Senator","Lela Alston",48245,0.719891967709686,"female","Democrat","Democrat","White"
"242",2018,"Arizona","District 25","State Representative","Johnny Martin",31540,0.377205046941338,"male","Republican","Democrat","Missing"
"243",2018,"Arizona","District 25","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"244",2018,"Arizona","District 25","State Senator","Kathy Mohr-Almeida",32268,0.38197831336711,"female","Republican","Democrat","Missing"
"245",2018,"Arizona","District 26","State Representative","Athena Salman",29540,0.639172580924355,"female","Democrat","Democrat","Hispanic/Latina"
"246",2018,"Arizona","District 26","State Representative","Isela Blanc",28039,1,"female","Democrat","Democrat","Hispanic/Latina"
"247",2018,"Arizona","District 26","State Senator","Juan Mendez",32812,0.65758146619103,"male","Democrat","Democrat","Missing"
