"","X","state","district","office","candidate_other","candidate_republican","candidate_democrat","total_votes_other","total_votes_republican","total_votes_democrat","vote_share_dem","vote_share_rep","vote_share_other","winner_party","gender_democrat","gender_republican","winner_gender","year"
"48",48,"Alabama","District 28","State Senator","No candidate","No candidate","Billy Beasley",0,0,28442,1,0,0,"Democrat","male","N/A","male",2018
"49",49,"Alabama","District 29","State Representative","No candidate","Becky Nordgren","Jared Millican",0,11528,3032,0.208241758241758,0.791758241758242,0,"Republican","male","female","female",2018
"50",50,"Alabama","District 29","State Senator","No candidate","Donnie Chesteen","No candidate",0,34273,0,0,1,0,"Republican","N/A","male","male",2018
"51",51,"Alabama","District 3","State Representative","No candidate","Andrew Sorrell","Chad Young",0,9448,8540,0.474760951745608,0.525239048254392,0,"Republican","male","male","male",2018
"52",52,"Alabama","District 3","State Senator","No candidate","Arthur Orr","No candidate",0,37295,0,0,1,0,"Republican","N/A","male","male",2018
"53",53,"Alabama","District 30","State Representative","No candidate","B. Craig Lipscomb","Jared Vaughn",0,13779,2931,0.1754039497307,0.8245960502693,0,"Republican","male","Unknown","Unknown",2018
"54",54,"Alabama","District 30","State Senator","No candidate","Clyde Chambliss, Jr.","No candidate",0,35256,0,0,1,0,"Republican","N/A","male","male",2018
"55",55,"Alabama","District 31","State Representative","No candidate","Mike Holmes","No candidate",0,14323,0,0,1,0,"Republican","N/A","male","male",2018
"56",56,"Alabama","District 31","State Senator","No candidate","Jimmy W. Holley","No candidate",0,33137,0,0,1,0,"Republican","N/A","male","male",2018
"57",57,"Alabama","District 32","State Representative","No candidate","James Allen Lloyd","Barbara Bigsby Boyd",0,4513,7761,0.632312204660258,0.367687795339743,0,"Democrat","female","male","female",2018
"58",58,"Alabama","District 32","State Senator","No candidate","Chris Elliott","Jason Fisher",0,45726,15193,0.249396739933354,0.750603260066646,0,"Republican","male","male","male",2018
"59",59,"Alabama","District 33","State Representative","No candidate","Ron Johnson","Scott Brewer",0,10155,4928,0.326725452496188,0.673274547503812,0,"Republican","male","male","male",2018
"60",60,"Alabama","District 33","State Senator","No candidate","No candidate","Vivian Davis Figures",0,0,34995,1,0,0,"Democrat","female","N/A","female",2018
"61",61,"Alabama","District 34","State Representative","No candidate","David Standridge","No candidate",0,13331,0,0,1,0,"Republican","N/A","male","male",2018
"62",62,"Alabama","District 35","State Representative","No candidate","Steve Hurst","No candidate",0,11567,0,0,1,0,"Republican","N/A","male","male",2018
"63",63,"Alabama","District 35","State Senator","No candidate","David Sessions","No candidate",0,29046,0,0,1,0,"Republican","N/A","male","male",2018
"64",64,"Alabama","District 36","State Representative","No candidate","Randy Wood","Nicki Arnold-Swindle",0,11399,4256,0.271862024912169,0.728137975087831,0,"Republican","female","male","male",2018
"65",65,"Alabama","District 37","State Representative","No candidate","Bob Fincher","Charlotte A. Clark-Frieson",0,11153,4505,0.287712351513603,0.712287648486397,0,"Republican","female","male","male",2018
"66",66,"Alabama","District 38","State Representative","No candidate","Debbie Hamby Wood","Brian McGee",0,11151,4944,0.3071761416589,0.6928238583411,0,"Republican","male","female","female",2018
"67",67,"Alabama","District 39","State Representative","No candidate","Ginny Shaver","No candidate",0,11585,0,0,1,0,"Republican","N/A","female","female",2018
"68",68,"Alabama","District 4","State Representative","Polan ""Pete"" Willis, Jr.","Parker Duncan Moore","Jo Ann Cummings",1620,11074,4325,0.25412773958517,0.650684529055761,0.0951877313590693,"Republican","female","male","male",2018
"69",69,"Alabama","District 4","State Senator","No candidate","Garlan Gudger","No candidate",0,39817,0,0,1,0,"Republican","N/A","male","male",2018
"70",70,"Alabama","District 40","State Representative","No candidate","Koven ""K.L."" Brown","Pamela Jean Howard",0,11188,3819,0.254481242087026,0.745518757912974,0,"Republican","female","male","male",2018
"71",71,"Alabama","District 41","State Representative","No candidate","Corley Ellis","Emily Anne Marcum",0,14088,4610,0.246550433201412,0.753449566798588,0,"Republican","female","female","female",2018
"72",72,"Alabama","District 42","State Representative","No candidate","James M. ""Jimmy"" Martin","No candidate",0,12412,0,0,1,0,"Republican","N/A","male","male",2018
"73",73,"Alabama","District 43","State Representative","No candidate","Arnold G. Mooney II","Carin Mayo",0,15035,5847,0.280001915525333,0.719998084474667,0,"Republican","female","male","male",2018
"74",74,"Alabama","District 44","State Representative","No candidate","Danny Garrett","No candidate",0,14597,0,0,1,0,"Republican","N/A","male","male",2018
"75",75,"Alabama","District 45","State Representative","No candidate","Dickie Drake","Jenn Gray",0,13669,7148,0.3433732045924,0.6566267954076,0,"Republican","female","male","male",2018
"76",76,"Alabama","District 46","State Representative","No candidate","David Faulkner","Felicia Stewart",0,13341,8445,0.387634260534288,0.612365739465712,0,"Republican","female","male","male",2018
"77",77,"Alabama","District 47","State Representative","No candidate","David Wheeler","Jim Toomey",0,9170,7721,0.457107335267302,0.542892664732698,0,"Republican","male","male","male",2018
"78",78,"Alabama","District 48","State Representative","No candidate","Jim Carns","Alli Summerford",0,14789,7832,0.346226957252111,0.653773042747889,0,"Republican","female","male","male",2018
"79",79,"Alabama","District 49","State Representative","No candidate","April Weaver","No candidate",0,10794,0,0,1,0,"Republican","N/A","female","female",2018
"80",80,"Alabama","District 5","State Representative","No candidate","Danny F. Crawford","Brian D Williams",0,12395,4725,0.275992990654206,0.724007009345794,0,"Republican","male","male","male",2018
"81",81,"Alabama","District 5","State Senator","No candidate","Greg J. Reed","No candidate",0,42404,0,0,1,0,"Republican","N/A","male","male",2018
"82",82,"Alabama","District 50","State Representative","No candidate","Jim Hill","No candidate",0,14412,0,0,1,0,"Republican","N/A","male","male",2018
"83",83,"Alabama","District 51","State Representative","No candidate","Allen Treadaway","Veronica R. Johnson",0,15390,3174,0.170976082740789,0.829023917259211,0,"Republican","female","male","male",2018
"84",84,"Alabama","District 52","State Representative","No candidate","No candidate","John W. Rogers, Jr.",0,0,13284,1,0,0,"Democrat","male","N/A","male",2018
"85",85,"Alabama","District 53","State Representative","No candidate","No candidate","Anthony Daniels",0,0,8375,1,0,0,"Democrat","male","N/A","male",2018
"86",86,"Alabama","District 54","State Representative","Joseph Casper Baker III","No candidate","Neil Rafferty",1436,0,13287,0.902465530122937,0,0.0975344698770631,"Democrat","male","N/A","male",2018
"87",87,"Alabama","District 55","State Representative","No candidate","No candidate","Roderick ""Rod"" Hampton Scott",0,0,13109,1,0,0,"Democrat","male","N/A","male",2018
"88",88,"Alabama","District 56","State Representative","No candidate","No candidate","Louise ""Lulu"" Alexander",0,0,13769,1,0,0,"Democrat","female","N/A","female",2018
"89",89,"Alabama","District 57","State Representative","No candidate","No candidate","Merika Coleman",0,0,12831,1,0,0,"Democrat","female","N/A","female",2018
"90",90,"Alabama","District 58","State Representative","No candidate","No candidate","Rolanda Hollis",0,0,12498,1,0,0,"Democrat","female","N/A","female",2018
"91",91,"Alabama","District 59","State Representative","No candidate","No candidate","Mary Moore",0,0,12036,1,0,0,"Democrat","female","N/A","female",2018
"92",92,"Alabama","District 6","State Representative","No candidate","Andy Whitt","No candidate",0,11893,0,0,1,0,"Republican","N/A","male","male",2018
"93",93,"Alabama","District 6","State Senator","No candidate","Larry Stutts","Johnny Mack Morrow",0,22683,21796,0.490029002450595,0.509970997549405,0,"Republican","male","male","male",2018
"94",94,"Alabama","District 60","State Representative","No candidate","No candidate","Juandalynn Givan",0,0,14432,1,0,0,"Democrat","female","N/A","female",2018
"95",95,"Alabama","District 61","State Representative","No candidate","Rodney Sullivan","Thomas ""Tommy"" Hyche",0,12407,6491,0.343475500052916,0.656524499947084,0,"Republican","male","male","male",2018
"96",96,"Alabama","District 62","State Representative","No candidate","Rich Wingo","Will Benton",0,11282,5265,0.318184565177978,0.681815434822022,0,"Republican","male","male","male",2018
"97",97,"Alabama","District 63","State Representative","No candidate","Bill Poole","No candidate",0,10239,0,0,1,0,"Republican","N/A","male","male",2018
"98",98,"Alabama","District 64","State Representative","No candidate","Harry Shiver","Amber Selman-Lynn",0,13030,4022,0.235866760497302,0.764133239502698,0,"Republican","female","male","male",2018
"99",99,"Alabama","District 65","State Representative","No candidate","Brett Easterbrook","Elaine Beech",0,10095,9010,0.471604292070139,0.528395707929861,0,"Republican","female","male","male",2018
"100",100,"Alabama","District 66","State Representative","No candidate","Alan Baker","Susan E. Smith",0,10431,4008,0.277581549968834,0.722418450031166,0,"Republican","female","male","male",2018
"101",101,"Alabama","District 67","State Representative","No candidate","No candidate","Prince Chestnut",0,0,11239,1,0,0,"Democrat","male","N/A","male",2018
"102",102,"Alabama","District 68","State Representative","No candidate","No candidate","Thomas E. ""Action"" Jackson",0,0,10382,1,0,0,"Democrat","male","N/A","male",2018
"103",103,"Alabama","District 69","State Representative","No candidate","No candidate","Kelvin Jamichael Lawrence",0,0,12867,1,0,0,"Democrat","male","N/A","male",2018
"104",104,"Alabama","District 7","State Representative","No candidate","Proncey Robertson","Kenneth A. Brackins",0,10892,3592,0.247997790665562,0.752002209334438,0,"Republican","male","Unknown","Unknown",2018
"105",105,"Alabama","District 7","State Senator","No candidate","Sam Givhan","Deborah Barros",0,30080,24363,0.447495545800195,0.552504454199805,0,"Republican","female","male","male",2018
"106",106,"Alabama","District 70","State Representative","No candidate","No candidate","Christopher John England",0,0,11541,1,0,0,"Democrat","male","N/A","male",2018
"107",107,"Alabama","District 71","State Representative","No candidate","No candidate","Artis ""A.J."" McCampbell",0,0,12400,1,0,0,"Democrat","male","N/A","male",2018
"108",108,"Alabama","District 72","State Representative","No candidate","No candidate","Ralph A. Howard",0,0,12811,1,0,0,"Democrat","male","N/A","male",2018
"109",109,"Alabama","District 73","State Representative","No candidate","Matt Fridy","Jack Jacobs",0,12913,5772,0.308910891089109,0.691089108910891,0,"Republican","male","male","male",2018
"110",110,"Alabama","District 74","State Representative","No candidate","Dimitri Polizos","Rayford Mack",0,9449,6160,0.394644115574348,0.605355884425652,0,"Republican","male","male","male",2018
"111",111,"Alabama","District 75","State Representative","No candidate","Reed Ingram","No candidate",0,13229,0,0,1,0,"Republican","N/A","male","male",2018
"112",112,"Alabama","District 76","State Representative","No candidate","No candidate","Thad McClammy",0,0,11681,1,0,0,"Democrat","male","N/A","male",2018
"113",113,"Alabama","District 77","State Representative","No candidate","No candidate","Tashina Morris",0,0,10638,1,0,0,"Democrat","female","N/A","female",2018
"114",114,"Alabama","District 78","State Representative","Tijuanna Adetunji","No candidate","Kirk Hatcher",1860,0,9506,0.836354038360021,0,0.163645961639979,"Democrat","male","N/A","male",2018
"115",115,"Alabama","District 79","State Representative","No candidate","Joe Lovvorn","Mary Wynne Kling",0,9717,7015,0.419256514463304,0.580743485536696,0,"Republican","female","male","male",2018
"116",116,"Alabama","District 8","State Representative","No candidate","Terri Collins","Billy Jackson",0,8803,5469,0.383197869955157,0.616802130044843,0,"Republican","male","female","female",2018
"117",117,"Alabama","District 8","State Senator","No candidate","Steve Livingston","No candidate",0,37913,0,0,1,0,"Republican","N/A","male","male",2018
"118",118,"Alabama","District 80","State Representative","No candidate","Chris E. Blackshear","Christopher F. ""Apostle"" Davis",0,8506,3407,0.285990094854361,0.714009905145639,0,"Republican","male","male","male",2018
"119",119,"Alabama","District 81","State Representative","No candidate","Ed Oliver","Jeremy ""J.J."" Jeffcoat",0,12823,4696,0.26805182944232,0.73194817055768,0,"Republican","male","male","male",2018
"120",120,"Alabama","District 82","State Representative","No candidate","No candidate","Pebblin Walker Warren",0,0,11411,1,0,0,"Democrat","Unknown","N/A","Unknown",2018
"121",121,"Alabama","District 83","State Representative","No candidate","Michael J Holden II","Jeremy ""Mr. Eyg"" Gray",0,5142,8940,0.634853003834683,0.365146996165317,0,"Democrat","male","male","male",2018
"122",122,"Alabama","District 84","State Representative","No candidate","No candidate","Berry Forte",0,0,9962,1,0,0,"Democrat","male","N/A","male",2018
"123",123,"Alabama","District 85","State Representative","No candidate","J. Ron Wilson","Dexter Grimsley",0,6266,7315,0.538620131065459,0.461379868934541,0,"Democrat","male","Unknown","male",2018
"124",124,"Alabama","District 86","State Representative","No candidate","Paul W. Lee","Kristy M. Kirkland",0,11226,3238,0.223866150442478,0.776133849557522,0,"Republican","female","male","male",2018
"125",125,"Alabama","District 87","State Representative","No candidate","Jeff Sorrells","No candidate",0,13835,0,0,1,0,"Republican","N/A","male","male",2018
"126",126,"Alabama","District 88","State Representative","No candidate","Will Dismukes","Cory Creel",0,11500,4793,0.294175412753943,0.705824587246057,0,"Republican","male","male","male",2018
"127",127,"Alabama","District 89","State Representative","No candidate","Wes Allen","Joel Lee Williams",0,7804,5348,0.406630170316302,0.593369829683698,0,"Republican","male","male","male",2018
"128",128,"Alabama","District 9","State Representative","No candidate","Scott Stadthagen","No candidate",0,13297,0,0,1,0,"Republican","N/A","male","male",2018
"129",129,"Alabama","District 9","State Senator","No candidate","Clay Scofield","No candidate",0,35192,0,0,1,0,"Republican","N/A","male","male",2018
"130",130,"Alabama","District 90","State Representative","No candidate","Chris Sells","Joanne Whetstone",0,11063,6051,0.353570176463714,0.646429823536286,0,"Republican","female","male","male",2018
"131",131,"Alabama","District 91","State Representative","No candidate","Rhett Marques","No candidate",0,11445,0,0,1,0,"Republican","N/A","male","male",2018
"132",132,"Alabama","District 92","State Representative","No candidate","Mike Jones, Jr.","No candidate",0,11912,0,0,1,0,"Republican","N/A","male","male",2018
"133",133,"Alabama","District 93","State Representative","No candidate","Steve Clouse","No candidate",0,11974,0,0,1,0,"Republican","N/A","male","male",2018
"134",134,"Alabama","District 94","State Representative","No candidate","Joe Faust","Danielle Mashburn-Myrick",0,15302,6257,0.290226819425762,0.709773180574238,0,"Republican","female","male","male",2018
"135",135,"Alabama","District 95","State Representative","No candidate","Steve McMillan","No candidate",0,17008,0,0,1,0,"Republican","N/A","male","male",2018
"136",136,"Alabama","District 96","State Representative","J. Matthew ""Matt"" Shelby","Matt Simpson","Maurice Horsey",1106,13699,5019,0.253177966101695,0.691031073446328,0.0557909604519774,"Republican","male","male","male",2018
"137",137,"Alabama","District 97","State Representative","No candidate","Stephen McNair","Adline C. Clarke",0,4605,8740,0.654926938928438,0.345073061071562,0,"Democrat","female","male","female",2018
"138",138,"Alabama","District 98","State Representative","No candidate","No candidate","Napoleon Bracy, Jr.",0,0,9674,1,0,0,"Democrat","male","N/A","male",2018
"139",139,"Alabama","District 99","State Representative","No candidate","Charles W. Talbert","Sam Jones",0,4270,11794,0.734188247011952,0.265811752988048,0,"Democrat","male","male","male",2018
"140",140,"Alaska","District 1","State Representative","No candidate","Barton S. LeBon","Kathryn E. Dodge",0,2661,2661,0.5,0.5,0,"Other","female","male","Other candidate",2018
"141",141,"Alaska","District 10","State Representative","Doyle E. Holmes","David Eastman","Patrici Faye-Brazel",1616,4524,1731,0.219921229831025,0.574768136196163,0.205310633972812,"Republican","female","male","male",2018
"142",142,"Alaska","District 11","State Representative","No candidate","DeLena M. Johnson","Eileen E. Patterson",0,5739,2217,0.278657616892911,0.721342383107089,0,"Republican","female","female","female",2018
"143",143,"Alaska","District 12","State Representative","No candidate","Cathy L. Tilton","Stephany Jeffers",0,6099,1993,0.246292634700939,0.753707365299061,0,"Republican","female","female","female",2018
"144",144,"Alaska","District 13","State Representative","No candidate","Nancy A. Dahlstrom","Danyelle D. Kimp",0,3328,1346,0.287976037655113,0.712023962344887,0,"Republican","female","female","female",2018
"145",145,"Alaska","District 14","State Representative","No candidate","Kelly R. Merrick","Joe Hackenmueller",0,5485,2814,0.339076997228582,0.660923002771418,0,"Republican","male","female","female",2018
"146",146,"Alaska","District 15","State Representative","No candidate","Gabrielle LeDoux","Lyn D. Franks",0,1380,1139,0.45216355696705,0.54783644303295,0,"Republican","female","female","female",2018
"147",147,"Alaska","District 16","State Representative","No candidate","Stanley A. Wright","Ivy A. Spohnholz",0,2618,3249,0.553775353673087,0.446224646326913,0,"Democrat","female","male","female",2018
"148",148,"Alaska","District 17","State Representative","No candidate","Marcus Sanders","Andrew L. Josephson",0,2148,3171,0.596164692611393,0.403835307388607,0,"Democrat","male","male","male",2018
"149",149,"Alaska","District 18","State Representative","No candidate","Anthony C. Lekanoff","Harriet A. Drummond",0,2034,3771,0.649612403100775,0.350387596899225,0,"Democrat","female","male","female",2018
"150",150,"Alaska","District 19","State Representative","Cean Stevens","No candidate","Geran Tarr",1211,0,2531,0.676376269374666,0,0.323623730625334,"Democrat","male","N/A","male",2018
"151",151,"Alaska","District 2","State Representative","No candidate","Steve Thompson","Van Lawrence",0,2340,1186,0.336358479863868,0.663641520136132,0,"Republican","male","male","male",2018
"152",152,"Alaska","District 20","State Representative","Warren P. West","Ceezar X. Martinson","William Z. Fields",296,1662,3738,0.65625,0.291783707865169,0.0519662921348315,"Democrat","male","Unknown","male",2018
"153",153,"Alaska","District 21","State Representative","No candidate","Marilyn Stewart","Matt Claman",0,3364,4058,0.546752896793317,0.453247103206683,0,"Democrat","male","female","male",2018
"154",154,"Alaska","District 22","State Representative","Jason S. Grenn","Sara Rasmussen","Dustin Darden",3031,3478,860,0.116705116026598,0.471977201791288,0.411317682182114,"Republican","male","female","female",2018
"155",155,"Alaska","District 23","State Representative","No candidate","Connie R. Dougherty","Chris Tuck",0,2605,2973,0.532986733596271,0.467013266403729,0,"Democrat","male","female","male",2018
"156",156,"Alaska","District 24","State Representative","No candidate","Charles M. Kopp","Sue Levi",0,4933,3224,0.395243349270565,0.604756650729435,0,"Republican","female","male","male",2018
"157",157,"Alaska","District 25","State Representative","No candidate","Josh C. Revak","Pat Higgins",0,3637,3356,0.47990847990848,0.52009152009152,0,"Republican","female","male","male",2018
"158",158,"Alaska","District 26","State Representative","No candidate","Laddie Shaw","Anita Thorne",0,4826,2886,0.374221991701245,0.625778008298755,0,"Republican","female","male","male",2018
"159",159,"Alaska","District 27","State Representative","No candidate","Lance Pruitt","Liz Snyder",0,3867,3686,0.488018006090295,0.511981993909705,0,"Republican","female","male","male",2018
"160",160,"Alaska","District 28","State Representative","No candidate","Jennifer B Johnston","Amber M. Lee",0,5557,4628,0.454393716249386,0.545606283750614,0,"Republican","female","female","female",2018
"161",161,"Alaska","District 29","State Representative","No candidate","Benjamin Carpenter","Shawn A. Butler",0,5550,2487,0.309443822321762,0.690556177678238,0,"Republican","male","male","male",2018
"162",162,"Alaska","District 3","State Representative","No candidate","Tammie Wilson","No candidate",0,4854,0,0,1,0,"Republican","N/A","female","female",2018
"163",163,"Alaska","District 30","State Representative","No candidate","Gary A. Knopp","No candidate",0,6187,0,0,1,0,"Republican","N/A","male","male",2018
"164",164,"Alaska","District 31","State Representative","No candidate","Sarah L. Vance","Paul Seaton",0,5243,4236,0.446882582550902,0.553117417449098,0,"Republican","male","female","female",2018
"165",165,"Alaska","District 32","State Representative","Sandra Katelnikoff-Lester","Louise Stutes","Dennis P. Harris",767,3261,2072,0.339672131147541,0.534590163934426,0.125737704918033,"Republican","male","female","female",2018
"166",166,"Alaska","District 33","State Representative","Chris Dimond","No candidate","Sara Hannan",3855,0,5073,0.568212365591398,0,0.431787634408602,"Democrat","female","N/A","female",2018
"167",167,"Alaska","District 34","State Representative","No candidate","Jerry A. Nankervis","Andrea Story",0,4110,4650,0.530821917808219,0.469178082191781,0,"Democrat","female","male","female",2018
"168",168,"Alaska","District 35","State Representative","No candidate","Richard J. Wein","Jona Kreiss-Tomkins",0,3367,4480,0.570918822479929,0.429081177520071,0,"Democrat","female","male","female",2018
"169",169,"Alaska","District 36","State Representative","Daniel H. Ortiz","Trevor A. Shaw","No candidate",4256,2793,0,0,0.39622641509434,0.60377358490566,"Other","N/A","male","Other candidate",2018
"170",170,"Alaska","District 37","State Representative","No candidate","William W Weatherby","Bryce E. Edgmon",0,1588,2911,0.647032673927539,0.352967326072461,0,"Democrat","male","male","male",2018
"171",171,"Alaska","District 38","State Representative","No candidate","Darren M. Deacon","Tiffany Zulkosky",0,2252,2843,0.557998037291462,0.442001962708538,0,"Democrat","female","male","female",2018
"172",172,"Alaska","District 39","State Representative","No candidate","No candidate","Neal W. Foster",0,0,4963,1,0,0,"Democrat","male","N/A","male",2018
"173",173,"Alaska","District 4","State Representative","Tim Lamkin","Jim Sackett","Grier Hopkins",395,3650,4356,0.518509701226045,0.43447208665635,0.047018212117605,"Democrat","female","male","female",2018
"174",174,"Alaska","District 40","State Representative","Leanna R. Mack","No candidate","John Lincoln",711,0,2404,0.771749598715891,0,0.228250401284109,"Democrat","male","N/A","male",2018
"175",175,"Alaska","District 40","State Representative","Patrick G. Savok","No candidate","No candidate",878,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
