id,year,first_name,middle_name,last_name,party,level,position,state,district,race_ethnicity
249176k,2013,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
249176k,2014,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
249176k,2015,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
249176k,2016,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
249176k,2017,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
428429k,2013,Mia,A.,Ackerman,Democrat,"State Legislative","State Representative","Rhode Island - RI",45,White
428429k,2014,Mia,A.,Ackerman,Democrat,"State Legislative","State Representative","Rhode Island - RI",45,White
428429k,2015,Mia,A.,Ackerman,Democrat,"State Legislative","State Representative","Rhode Island - RI",45,White
428429k,2016,Mia,A.,Ackerman,Democrat,"State Legislative","State Representative","Rhode Island - RI",45,White
428429k,2017,Mia,A.,Ackerman,Democrat,"State Legislative","State Representative","Rhode Island - RI",45,White
428429k,2018,Mia,A.,Ackerman,Democrat,"State Legislative","State Representative","Rhode Island - RI",45,White
428429k,2019,Mia,A.,Ackerman,Democrat,"State Legislative","State Representative","Rhode Island - RI",45,White
428429k,2020,Mia,A.,Ackerman,Democrat,"State Legislative","State Representative","Rhode Island - RI",45,White
668378k,2019,Patty,,Acomb,Democrat,"State Legislative","State Representative","Minnesota - MN",044B,White
668378k,2020,Patty,,Acomb,Democrat,"State Legislative","State Representative","Minnesota - MN",044B,White
490386k,2015,Leslie,,Acosta,Democrat,"State Legislative","State Representative","Pennsylvania - PA",197,Hispanic/Latina
490386k,2016,Leslie,,Acosta,Democrat,"State Legislative","State Representative","Pennsylvania - PA",197,Hispanic/Latina
490386k,2017,Leslie,,Acosta,Democrat,"State Legislative","State Representative","Pennsylvania - PA",197,Hispanic/Latina
14316c,2009,Cindy,,Acree,Republican,"State Legislative","State Representative","Colorado - CO",40,White
14316c,2010,Cindy,,Acree,Republican,"State Legislative","State Representative","Colorado - CO",40,White
14316c,2011,Cindy,,Acree,Republican,"State Legislative","State Representative","Colorado - CO",40,White
14316c,2012,Cindy,,Acree,Republican,"State Legislative","State Representative","Colorado - CO",40,White
637600k,2017,Cheryl,,Acton,Republican,"State Legislative","State Representative","Utah - UT",43,White
637600k,2018,Cheryl,,Acton,Republican,"State Legislative","State Representative","Utah - UT",43,White
637600k,2019,Cheryl,,Acton,Republican,"State Legislative","State Representative","Utah - UT",43,White
637600k,2020,Cheryl,,Acton,Republican,"State Legislative","State Representative","Utah - UT",43,White
196595k,2014,Alma,S.,Adams,Democrat,Federal/Congress,"U.S. Representative","North Carolina - NC",12,"Black/African American"
196595k,2015,Alma,S.,Adams,Democrat,Federal/Congress,"U.S. Representative","North Carolina - NC",12,"Black/African American"
196595k,2016,Alma,S.,Adams,Democrat,Federal/Congress,"U.S. Representative","North Carolina - NC",12,"Black/African American"
196595k,2017,Alma,S.,Adams,Democrat,Federal/Congress,"U.S. Representative","North Carolina - NC",12,"Black/African American"
196595k,2018,Alma,S.,Adams,Democrat,Federal/Congress,"U.S. Representative","North Carolina - NC",12,"Black/African American"
196595k,2019,Alma,S.,Adams,Democrat,Federal/Congress,"U.S. Representative","North Carolina - NC",12,"Black/African American"
196595k,2020,Alma,S.,Adams,Democrat,Federal/Congress,"U.S. Representative","North Carolina - NC",12,"Black/African American"
196595k,2008,Alma,S.,Adams,Democrat,"State Legislative","State Representative","North Carolina - NC",58,"Black/African American"
196595k,2009,Alma,S.,Adams,Democrat,"State Legislative","State Representative","North Carolina - NC",58,"Black/African American"
196595k,2010,Alma,S.,Adams,Democrat,"State Legislative","State Representative","North Carolina - NC",58,"Black/African American"
196595k,2011,Alma,S.,Adams,Democrat,"State Legislative","State Representative","North Carolina - NC",58,"Black/African American"
196595k,2012,Alma,S.,Adams,Democrat,"State Legislative","State Representative","North Carolina - NC",58,"Black/African American"
196595k,2013,Alma,S.,Adams,Democrat,"State Legislative","State Representative","North Carolina - NC",58,"Black/African American"
196595k,2014,Alma,S.,Adams,Democrat,"State Legislative","State Representative","North Carolina - NC",58,"Black/African American"
620470k,2018,Dawn,M.,Adams,Democrat,"State Legislative","State Representative","Virginia - VA",68,White
620470k,2019,Dawn,M.,Adams,Democrat,"State Legislative","State Representative","Virginia - VA",68,White
620470k,2020,Dawn,M.,Adams,Democrat,"State Legislative","State Representative","Virginia - VA",68,White
293182k,2015,Julie,Raque,Adams,Republican,"State Legislative","State Senator","Kentucky - KY",36,White
293182k,2016,Julie,Raque,Adams,Republican,"State Legislative","State Senator","Kentucky - KY",36,White
293182k,2017,Julie,Raque,Adams,Republican,"State Legislative","State Senator","Kentucky - KY",36,White
293182k,2018,Julie,Raque,Adams,Republican,"State Legislative","State Senator","Kentucky - KY",36,White
293182k,2019,Julie,Raque,Adams,Republican,"State Legislative","State Senator","Kentucky - KY",36,White
293182k,2020,Julie,Raque,Adams,Republican,"State Legislative","State Senator","Kentucky - KY",36,White
293182k,2011,Julie,Raque,Adams,Republican,"State Legislative","State Representative","Kentucky - KY",32,White
293182k,2012,Julie,Raque,Adams,Republican,"State Legislative","State Representative","Kentucky - KY",32,White
293182k,2013,Julie,Raque,Adams,Republican,"State Legislative","State Representative","Kentucky - KY",32,White
293182k,2014,Julie,Raque,Adams,Republican,"State Legislative","State Representative","Kentucky - KY",32,White
662979k,2019,Mary,,Adams,Democrat,"State Legislative","State Representative","North Dakota - ND",43,White
662979k,2020,Mary,,Adams,Democrat,"State Legislative","State Representative","North Dakota - ND",43,White
10854c,2008,Sandra,,Adams,Republican,"State Legislative","State Representative","Florida - FL",33,White
10854c,2009,Sandra,,Adams,Republican,"State Legislative","State Representative","Florida - FL",33,White
10854c,2010,Sandra,,Adams,Republican,"State Legislative","State Representative","Florida - FL",33,White
10854c,2011,Sandra,,Adams,Republican,Federal/Congress,"U.S. Representative","Florida - FL",24,White
10854c,2012,Sandra,,Adams,Republican,Federal/Congress,"U.S. Representative","Florida - FL",24,White
489627k,2015,Gale,B.,Adcock,Democrat,"State Legislative","State Representative","North Carolina - NC",41,White
489627k,2016,Gale,B.,Adcock,Democrat,"State Legislative","State Representative","North Carolina - NC",41,White
489627k,2017,Gale,B.,Adcock,Democrat,"State Legislative","State Representative","North Carolina - NC",41,White
489627k,2018,Gale,B.,Adcock,Democrat,"State Legislative","State Representative","North Carolina - NC",41,White
489627k,2019,Gale,B.,Adcock,Democrat,"State Legislative","State Representative","North Carolina - NC",41,White
489627k,2020,Gale,B.,Adcock,Democrat,"State Legislative","State Representative","North Carolina - NC",41,White
11561c,2008,Pam,,Adcock,Democrat,"State Legislative","State Representative","Arkansas - AR",35,White
11561c,2009,Pam,,Adcock,Democrat,"State Legislative","State Representative","Arkansas - AR",35,White
11561c,2010,Pam,,Adcock,Democrat,"State Legislative","State Representative","Arkansas - AR",35,White
260511k,2019,Dawn,Marie,Addiego,Democrat,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2020,Dawn,Marie,Addiego,Democrat,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2008,Dawn,Marie,Addiego,Republican,"State Legislative","State Representative","New Jersey - NJ",8,White
260511k,2009,Dawn,Marie,Addiego,Republican,"State Legislative","State Representative","New Jersey - NJ",8,White
260511k,2010,Dawn,Marie,Addiego,Republican,"State Legislative","State Representative","New Jersey - NJ",8,White
260511k,2010,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2011,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2012,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2013,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2014,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2015,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2016,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2017,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2018,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
260511k,2019,Dawn,Marie,Addiego,Republican,"State Legislative","State Senator","New Jersey - NJ",8,White
653110k,2018,Chanda,D.,Adkins,Republican,"State Legislative","State Representative","West Virginia - WV",31,White
242837k,2009,Janet,H.,Adkins,Republican,"State Legislative","State Representative","Florida - FL",11,White
242837k,2010,Janet,H.,Adkins,Republican,"State Legislative","State Representative","Florida - FL",11,White
242837k,2011,Janet,H.,Adkins,Republican,"State Legislative","State Representative","Florida - FL",11,White
242837k,2012,Janet,H.,Adkins,Republican,"State Legislative","State Representative","Florida - FL",11,White
242837k,2013,Janet,H.,Adkins,Republican,"State Legislative","State Representative","Florida - FL",11,White
242837k,2014,Janet,H.,Adkins,Republican,"State Legislative","State Representative","Florida - FL",11,White
242837k,2015,Janet,H.,Adkins,Republican,"State Legislative","State Representative","Florida - FL",11,White
242837k,2016,Janet,H.,Adkins,Republican,"State Legislative","State Representative","Florida - FL",11,White
647400k,2019,Lynn,,Afendoulis,Republican,"State Legislative","State Representative","Michigan - MI",73,White
647400k,2020,Lynn,,Afendoulis,Republican,"State Legislative","State Representative","Michigan - MI",73,White
295480k,2011,Kathy,,Afzali,Republican,"State Legislative","State Representative","Maryland - MD",4,White
295480k,2012,Kathy,,Afzali,Republican,"State Legislative","State Representative","Maryland - MD",4,White
295480k,2013,Kathy,,Afzali,Republican,"State Legislative","State Representative","Maryland - MD",4,White
295480k,2014,Kathy,,Afzali,Republican,"State Legislative","State Representative","Maryland - MD",4,White
295480k,2015,Kathy,,Afzali,Republican,"State Legislative","State Representative","Maryland - MD",4,White
295480k,2016,Kathy,,Afzali,Republican,"State Legislative","State Representative","Maryland - MD",4,White
295480k,2017,Kathy,,Afzali,Republican,"State Legislative","State Representative","Maryland - MD",4,White
295480k,2018,Kathy,,Afzali,Republican,"State Legislative","State Representative","Maryland - MD",4,White
16501c,2013,Lucinda,,Agidius,Republican,"State Legislative","State Representative","Idaho - ID",005/A,White
16501c,2014,Lucinda,,Agidius,Republican,"State Legislative","State Representative","Idaho - ID",005/A,White
577746k,2017,Cecilia,M.,Aguiar-Curry,Democrat,"State Legislative","State Representative","California - CA",4,Hispanic/Latina
577746k,2018,Cecilia,M.,Aguiar-Curry,Democrat,"State Legislative","State Representative","California - CA",4,Hispanic/Latina
577746k,2019,Cecilia,M.,Aguiar-Curry,Democrat,"State Legislative","State Representative","California - CA",4,Hispanic/Latina
577746k,2020,Cecilia,M.,Aguiar-Curry,Democrat,"State Legislative","State Representative","California - CA",4,Hispanic/Latina
329576k,2010,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
329576k,2011,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
329576k,2012,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
329576k,2013,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
329576k,2014,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
329576k,2015,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
329576k,2016,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
329576k,2017,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
329576k,2018,Irene,,Aguilar,Democrat,"State Legislative","State Senator","Colorado - CO",32,Hispanic/Latina
11144c,2008,Amanda,,Aguirre,Democrat,"State Legislative","State Senator","Arizona - AZ",24,Hispanic/Latina
11144c,2009,Amanda,,Aguirre,Democrat,"State Legislative","State Senator","Arizona - AZ",24,Hispanic/Latina
11144c,2010,Amanda,,Aguirre,Democrat,"State Legislative","State Senator","Arizona - AZ",24,Hispanic/Latina
535482k,2016,Lashrecse,D.,Aird,Democrat,"State Legislative","State Representative","Virginia - VA",63,"Black/African American"
535482k,2017,Lashrecse,D.,Aird,Democrat,"State Legislative","State Representative","Virginia - VA",63,"Black/African American"
535482k,2018,Lashrecse,D.,Aird,Democrat,"State Legislative","State Representative","Virginia - VA",63,"Black/African American"
535482k,2019,Lashrecse,D.,Aird,Democrat,"State Legislative","State Representative","Virginia - VA",63,"Black/African American"
535482k,2020,Lashrecse,D.,Aird,Democrat,"State Legislative","State Representative","Virginia - VA",63,"Black/African American"
198592k,2008,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2009,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2010,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2011,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2012,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2013,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2014,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2015,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2016,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2017,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2018,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2019,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
198592k,2020,Edith,H.,Ajello,Democrat,"State Legislative","State Representative","Rhode Island - RI",1,White
478138k,2013,Raumesh,A.,Akbari,Democrat,"State Legislative","State Representative","Tennessee - TN",91,"Black/African American"
478138k,2014,Raumesh,A.,Akbari,Democrat,"State Legislative","State Representative","Tennessee - TN",91,"Black/African American"
478138k,2015,Raumesh,A.,Akbari,Democrat,"State Legislative","State Representative","Tennessee - TN",91,"Black/African American"
478138k,2016,Raumesh,A.,Akbari,Democrat,"State Legislative","State Representative","Tennessee - TN",91,"Black/African American"
478138k,2017,Raumesh,A.,Akbari,Democrat,"State Legislative","State Representative","Tennessee - TN",91,"Black/African American"
478138k,2018,Raumesh,A.,Akbari,Democrat,"State Legislative","State Representative","Tennessee - TN",91,"Black/African American"
478138k,2019,Raumesh,A.,Akbari,Democrat,"State Legislative","State Senator","Tennessee - TN",29,"Black/African American"
478138k,2020,Raumesh,A.,Akbari,Democrat,"State Legislative","State Senator","Tennessee - TN",29,"Black/African American"
2481c,2008,Sheryl,K.,Albers,Republican,"State Legislative","State Representative","Wisconsin - WI",50,White
570597k,2017,Joni,,Albrecht,Nonpartisan,"State Legislative","State Senator","Nebraska - NE",17,White
570597k,2018,Joni,,Albrecht,Nonpartisan,"State Legislative","State Senator","Nebraska - NE",17,White
570597k,2019,Joni,,Albrecht,Nonpartisan,"State Legislative","State Senator","Nebraska - NE",17,White
570597k,2020,Joni,,Albrecht,Nonpartisan,"State Legislative","State Senator","Nebraska - NE",17,White
664052k,2019,Kelly,,Albright,Democrat,"State Legislative","State Representative","Oklahoma - OK",95,White
664052k,2020,Kelly,,Albright,Democrat,"State Legislative","State Representative","Oklahoma - OK",95,White
590817k,2017,Marisol,,Alcantara,Democrat,"State Legislative","State Senator","New York - NY",31,Hispanic/Latina
590817k,2018,Marisol,,Alcantara,Democrat,"State Legislative","State Senator","New York - NY",31,Hispanic/Latina
10560c,2008,Deborah,,Alden,Republican,"State Legislative","State Representative","Wyoming - WY",3,White
664728k,2019,Betty,Jean,Alexander,Democrat,"State Legislative","State Senator","Michigan - MI",5,"Black/African American"
664728k,2020,Betty,Jean,Alexander,Democrat,"State Legislative","State Senator","Michigan - MI",5,"Black/African American"
564617k,2017,Julie,,Alexander,Republican,"State Legislative","State Representative","Michigan - MI",64,White
564617k,2018,Julie,,Alexander,Republican,"State Legislative","State Representative","Michigan - MI",64,White
564617k,2019,Julie,,Alexander,Republican,"State Legislative","State Representative","Michigan - MI",64,White
564617k,2020,Julie,,Alexander,Republican,"State Legislative","State Representative","Michigan - MI",64,White
291234k,2013,Kimberly,A.,Alexander,Democrat,"State Legislative","State Representative","Georgia - GA",66,"Black/African American"
291234k,2014,Kimberly,A.,Alexander,Democrat,"State Legislative","State Representative","Georgia - GA",66,"Black/African American"
291234k,2015,Kimberly,A.,Alexander,Democrat,"State Legislative","State Representative","Georgia - GA",66,"Black/African American"
291234k,2016,Kimberly,A.,Alexander,Democrat,"State Legislative","State Representative","Georgia - GA",66,"Black/African American"
291234k,2017,Kimberly,A.,Alexander,Democrat,"State Legislative","State Representative","Georgia - GA",66,"Black/African American"
291234k,2018,Kimberly,A.,Alexander,Democrat,"State Legislative","State Representative","Georgia - GA",66,"Black/African American"
291234k,2019,Kimberly,A.,Alexander,Democrat,"State Legislative","State Representative","Georgia - GA",66,"Black/African American"
291234k,2020,Kimberly,A.,Alexander,Democrat,"State Legislative","State Representative","Georgia - GA",66,"Black/African American"
501175k,2015,Louise,,Alexander,Democrat,"State Legislative","State Representative","Alabama - AL",56,"Black/African American"
501175k,2016,Louise,,Alexander,Democrat,"State Legislative","State Representative","Alabama - AL",56,"Black/African American"
501175k,2017,Louise,,Alexander,Democrat,"State Legislative","State Representative","Alabama - AL",56,"Black/African American"
501175k,2018,Louise,,Alexander,Democrat,"State Legislative","State Representative","Alabama - AL",56,"Black/African American"
501175k,2019,Louise,,Alexander,Democrat,"State Legislative","State Representative","Alabama - AL",56,"Black/African American"
501175k,2020,Louise,,Alexander,Democrat,"State Legislative","State Representative","Alabama - AL",56,"Black/African American"
2813c,2008,Martha,B.,Alexander,Democrat,"State Legislative","State Representative","North Carolina - NC",106,White
2813c,2009,Martha,B.,Alexander,Democrat,"State Legislative","State Representative","North Carolina - NC",106,White
2813c,2010,Martha,B.,Alexander,Democrat,"State Legislative","State Representative","North Carolina - NC",106,White
2813c,2011,Martha,B.,Alexander,Democrat,"State Legislative","State Representative","North Carolina - NC",106,White
2813c,2012,Martha,B.,Alexander,Democrat,"State Legislative","State Representative","North Carolina - NC",106,White
296583k,2013,Caroletta,C.,Alicea,Democrat,"State Legislative","State Representative","New Hampshire - NH",90,"Black/African American"
296583k,2014,Caroletta,C.,Alicea,Democrat,"State Legislative","State Representative","New Hampshire - NH",90,"Black/African American"
296583k,2015,Caroletta,C.,Alicea,Democrat,"State Legislative","State Representative","New Hampshire - NH",90,"Black/African American"
296583k,2016,Caroletta,C.,Alicea,Democrat,"State Legislative","State Representative","New Hampshire - NH",90,"Black/African American"
296583k,2017,Caroletta,C.,Alicea,Democrat,"State Legislative","State Representative","New Hampshire - NH",90,"Black/African American"
296583k,2018,Caroletta,C.,Alicea,Democrat,"State Legislative","State Representative","New Hampshire - NH",90,"Black/African American"
228544k,2008,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2009,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2010,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2011,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2012,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2013,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2014,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2015,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2016,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2017,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2018,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2019,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
228544k,2020,Alma,A.,Allen,Democrat,"State Legislative","State Representative","Texas - TX",131,"Black/African American"
1473c,2008,Barbara,P.,Allen,Republican,"State Legislative","State Senator","Kansas - KS",8,White
4786c,2008,Carolyn,S.,Allen,Republican,"State Legislative","State Senator","Arizona - AZ",8,White
4786c,2009,Carolyn,S.,Allen,Republican,"State Legislative","State Senator","Arizona - AZ",8,White
4786c,2010,Carolyn,S.,Allen,Republican,"State Legislative","State Senator","Arizona - AZ",8,White
197304k,2008,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2009,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2010,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2011,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2012,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2013,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2014,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2015,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2016,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
197304k,2017,Diane,B.,Allen,Republican,"State Legislative","State Senator","New Jersey - NJ",7,White
10724c,2008,Francis,,Allen,Republican,"State Legislative","State Representative","Nevada - NV",4,"Asian/Pacific Islander"
11088c,2008,Janet,,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",Belk-05,White
10942c,2008,Lucy,T.,Allen,Democrat,"State Legislative","State Representative","North Carolina - NC",49,White
10942c,2009,Lucy,T.,Allen,Democrat,"State Legislative","State Representative","North Carolina - NC",49,White
10942c,2010,Lucy,T.,Allen,Democrat,"State Legislative","State Representative","North Carolina - NC",49,White
213107k,2008,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2009,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2010,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2011,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2012,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2013,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2014,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2015,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2016,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2017,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
213107k,2018,Mary,M.,Allen,Republican,"State Legislative","State Representative","New Hampshire - NH",121,White
3932c,2008,Sheryl,L.,Allen,Republican,"State Legislative","State Representative","Utah - UT",19,White
