"","democrat","republican","other","state","year","district","democrat_incumbent","democrat_votes","republican_incumbent","republican_votes","other_incumbent","other_votes","gender_dem","gender_rep","winner_party","winner_gender","vote_prop_dem","vote_prop_rep","vote_prop_other"
"28","Shirley A. Cote","Jennifer B. Johnston","No candidate","Alaska",2016,"28","False",4606,"False",5903,"0",0,"female","female","Republican","female",0.438290988676373,0.561709011323627,0
"29","No candidate","Charles M. Chenault","No candidate","Alaska",2016,"29","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"30","Shauna Thornton","Gary A. Knopp","Daniel Lynch","Alaska",2016,"30","False",1868,"False",5346,"False",946,"female","male","Republican","male",0.228921568627451,0.655147058823529,0.11593137254902
"31","No candidate","Paul Seaton","No candidate","Alaska",2016,"31","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"32","Brent L. Watkins","Louise Stutes","Duncan Fields","Alaska",2016,"32","False",1128,"True",2981,"False",2777,"male","female","Republican","female",0.163810630264304,0.432907348242812,0.403282021492884
"33","Sam Kito III","No candidate","No candidate","Alaska",2016,"33","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"34","Justin Parish","Cathy Mu̱oz","No candidate","Alaska",2016,"34","False",4527,"True",4332,"0",0,"male","female","Democrat","male",0.511005756857433,0.488994243142567,0
"35","Jonathan S. Kreiss-Tomkins","Sheila Finkenbinder","No candidate","Alaska",2016,"35","True",5068,"False",3486,"0",0,"male","female","Democrat","male",0.592471358428805,0.407528641571195,0
"36","No candidate","Robert W. Siversten","Daniel Ortiz","Alaska",2016,"36","False",0,"False",3319,"True",4505,"N/A","male","Other","Other candidate",0,0.424207566462168,0.575792433537832
"37","Bryce E. Edgmon","William W. Weatherby","No candidate","Alaska",2016,"37","True",2724,"False",1868,"0",0,"male","male","Democrat","male",0.593205574912892,0.406794425087108,0
"38","Zach Fansler","No candidate","No candidate","Alaska",2016,"38","False",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"39","Neal Winston Foster","No candidate","No candidate","Alaska",2016,"39","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"40","Dean Westlake","No candidate","No candidate","Alaska",2016,"40","False",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"41","No candidate","Carol Dalby","No candidate","Arkansas",2016,"1","False",0,"False",1,"0",0,"N/A","female","Republican","female",0,1,0
"42","No candidate","Lane Jean","No candidate","Arkansas",2016,"2","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"43","Brent Talley","Danny Watson","Cecil Anderson","Arkansas",2016,"3","True",3872,"False",5311,"False",157,"male","male","Republican","male",0.414561027837259,0.568629550321199,0.0168094218415418
"44","Fonda Hawthorne","DeAnn Vaught","No candidate","Arkansas",2016,"4","False",2485,"True",6805,"0",0,"female","female","Republican","female",0.267491926803014,0.732508073196986,0
"45","David Fielding","No candidate","No candidate","Arkansas",2016,"5","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"46","No candidate","Matthew Shepherd","No candidate","Arkansas",2016,"6","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"47","Floyd Thomas, Jr.","Sonia Eubanks Barker","Glenn Glover","Arkansas",2016,"7","False",3827,"False",5606,"False",796,"male","female","Republican","female",0.374132368755499,0.548049662723629,0.077817968520872
"48","Jeff Wardlaw","No candidate","No candidate","Arkansas",2016,"8","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"49","LeAnne Burch","No candidate","No candidate","Arkansas",2016,"9","False",6519,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"50","Dorothy Hall","Mike Holcomb","No candidate","Arkansas",2016,"10","False",4024,"True",7043,"0",0,"female","male","Republican","male",0.363603505918496,0.636396494081504,0
"51","Mark McElroy","No candidate","No candidate","Arkansas",2016,"11","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"52","Chris Richey","No candidate","No candidate","Arkansas",2016,"12","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"53","David Hillman","No candidate","No candidate","Arkansas",2016,"13","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"54","Camille Bennett","Roger Lynch","No candidate","Arkansas",2016,"14","True",5391,"False",5867,"0",0,"female","male","Republican","male",0.478859477704743,0.521140522295257,0
"55","No candidate","Ken Bragg","Wayne Willems","Arkansas",2016,"15","False",0,"True",9816,"False",2002,"N/A","male","Republican","male",0,0.830597393806059,0.169402606193941
"56","Ken Ferguson","No candidate","No candidate","Arkansas",2016,"16","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"57","Vivian Flowers","No candidate","No candidate","Arkansas",2016,"17","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"58","Richard Bright","Richard Womack","No candidate","Arkansas",2016,"18","False",5088,"True",6499,"0",0,"male","male","Republican","male",0.439112798826271,0.560887201173729,0
"59","No candidate","Justin Gonzales","No candidate","Arkansas",2016,"19","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"60","No candidate","John Maddox","Henry Nielson","Arkansas",2016,"20","False",0,"False",8936,"False",1688,"N/A","male","Republican","male",0,0.841114457831325,0.158885542168675
"61","No candidate","Marcus Richmond","No candidate","Arkansas",2016,"21","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"62","No candidate","Mickey Gates","No candidate","Arkansas",2016,"22","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"63","No candidate","Lanny Fite","No candidate","Arkansas",2016,"23","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"64","No candidate","Bruce Cozart","No candidate","Arkansas",2016,"24","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"65","Jerry Rephan","Les Warren","No candidate","Arkansas",2016,"25","False",4208,"False",5973,"0",0,"male","male","Republican","male",0.41331892741381,0.58668107258619,0
"66","No candidate","Laurie Rushing","No candidate","Arkansas",2016,"26","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"67","Melissa Fults","Andy Mayberry","No candidate","Arkansas",2016,"27","False",3748,"False",8711,"0",0,"female","male","Republican","male",0.300826711614094,0.699173288385906,0
"68","No candidate","Kim Hammer","No candidate","Arkansas",2016,"28","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"69","Fredrick Love","No candidate","Glen Schwarz","Arkansas",2016,"29","True",6844,"False",0,"False",1078,"male","N/A","Democrat","male",0.863923251704115,0,0.136076748295885
"70","Fred Allen","No candidate","No candidate","Arkansas",2016,"30","False",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"71","No candidate","Andy Davis","No candidate","Arkansas",2016,"31","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"72","Susan Inman","Jim Sorvillo","No candidate","Arkansas",2016,"32","False",6559,"True",8435,"0",0,"female","male","Republican","male",0.437441643323996,0.562558356676004,0
"73","Warwick Sabin","No candidate","Michael Williams","Arkansas",2016,"33","True",9472,"False",0,"False",2683,"male","N/A","Democrat","male",0.779267791032497,0,0.220732208967503
"74","John W. Walker","No candidate","No candidate","Arkansas",2016,"34","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"75","Clarke Tucker","No candidate","No candidate","Arkansas",2016,"35","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"76","Charles Blake","No candidate","No candidate","Arkansas",2016,"36","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"77","Eddie Armstrong, III","No candidate","No candidate","Arkansas",2016,"37","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"78","Victoria Leigh","Carlton Wing","No candidate","Arkansas",2016,"38","False",6466,"False",7019,"0",0,"female","male","Republican","male",0.479495736002966,0.520504263997034,0
"79","Bill Rahn","Mark Lowery","No candidate","Arkansas",2016,"39","False",6223,"True",7318,"0",0,"male","male","Republican","male",0.459567240233365,0.540432759766635,0
"80","No candidate","Douglas House","No candidate","Arkansas",2016,"40","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"81","No candidate","Karilyn Brown","No candidate","Arkansas",2016,"41","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"82","J.P. Bob Johnson","Patrick Thomas","No candidate","Arkansas",2016,"42","True",5100,"False",3622,"0",0,"Unknown","male","Democrat","Unknown",0.584728273331805,0.415271726668195,0
"83","No candidate","Tim Lemons","No candidate","Arkansas",2016,"43","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"84","No candidate","Joe Farrer","Garry Baker","Arkansas",2016,"44","False",0,"True",9243,"False",2070,"N/A","male","Republican","male",0,0.817024661893397,0.182975338106603
"85","No candidate","Jeremy Gillam","No candidate","Arkansas",2016,"45","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"86","No candidate","Les Eaves","No candidate","Arkansas",2016,"46","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"87","Michael John Gray","No candidate","No candidate","Arkansas",2016,"47","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"88","Reginald Murdock","No candidate","No candidate","Arkansas",2016,"48","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"89","Marshall Wright","Steve Hollowell","No candidate","Arkansas",2016,"49","True",4411,"False",5539,"0",0,"male","male","Republican","male",0.443316582914573,0.556683417085427,0
"90","Milton Nicks, Jr.","No candidate","No candidate","Arkansas",2016,"50","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"91","Deborah Ferguson","No candidate","No candidate","Arkansas",2016,"51","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"92","No candidate","Dwight Tosh","No candidate","Arkansas",2016,"52","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"93","No candidate","Dan Sullivan","No candidate","Arkansas",2016,"53","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"94","Hunter Williams","Johnny Rye","No candidate","Arkansas",2016,"54","False",2259,"False",6490,"0",0,"male","male","Republican","male",0.258200937249971,0.741799062750029,0
"95","Monte Hodges","No candidate","No candidate","Arkansas",2016,"55","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"96","Joe Jett","No candidate","No candidate","Arkansas",2016,"56","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"97","Frankie Gilliam","Jimmy Gazaway","No candidate","Arkansas",2016,"57","False",3351,"False",6496,"0",0,"male","male","Republican","male",0.340306692393622,0.659693307606378,0
"98","Nate Looney","Brandt Smith","No candidate","Arkansas",2016,"58","False",5153,"True",6448,"0",0,"male","male","Republican","male",0.444185846047755,0.555814153952246,0
"99","No candidate","Jack Ladyman","No candidate","Arkansas",2016,"59","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"100","James Ratliff","Frances Cavenaugh","No candidate","Arkansas",2016,"60","True",4948,"False",5112,"0",0,"male","female","Republican","female",0.491848906560636,0.508151093439364,0
"101","Scott Baltz","Marsh Davis","Chris Olson","Arkansas",2016,"61","True",5559,"False",4996,"False",467,"male","male","Democrat","male",0.504354926510615,0.453275267646525,0.0423698058428597
"102","No candidate","Michelle Gray","No candidate","Arkansas",2016,"62","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"103","No candidate","James Sturch","No candidate","Arkansas",2016,"63","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"104","No candidate","John Payton","No candidate","Arkansas",2016,"64","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"105","No candidate","Rick Beck","No candidate","Arkansas",2016,"65","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"106","No candidate","Josh Miller","No candidate","Arkansas",2016,"66","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"107","No candidate","Stephen Meeks","No candidate","Arkansas",2016,"67","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"108","No candidate","Trevor Drown","No candidate","Arkansas",2016,"68","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"109","George Overbey, Jr.","Aaron Pilkington","No candidate","Arkansas",2016,"69","False",4344,"False",6088,"0",0,"male","male","Republican","male",0.416411042944785,0.583588957055215,0
"110","No candidate","David Meeks","No candidate","Arkansas",2016,"70","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"111","No candidate","Kenneth Henderson","No candidate","Arkansas",2016,"71","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"112","Steve Magie","Shannon Taylor","No candidate","Arkansas",2016,"72","True",6315,"False",4239,"0",0,"male","female","Democrat","male",0.598351335986356,0.401648664013644,0
"113","Lesa Wolfe Crowell","Mary Bentley","No candidate","Arkansas",2016,"73","False",2094,"True",6536,"0",0,"female","female","Republican","female",0.242641946697567,0.757358053302433,0
"114","No candidate","Jon S. Eubanks","No candidate","Arkansas",2016,"74","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"115","No candidate","Charlotte Vining Douglas","No candidate","Arkansas",2016,"75","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"116","No candidate","Mathew Pitsch","No candidate","Arkansas",2016,"76","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"117","No candidate","Justin Boyd","Stephen Edwards","Arkansas",2016,"77","False",0,"True",7133,"False",3051,"N/A","male","Republican","male",0,0.70041241162608,0.29958758837392
"118","George McGill","No candidate","No candidate","Arkansas",2016,"78","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"119","No candidate","Gary Deffenbaugh","No candidate","Arkansas",2016,"79","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"120","No candidate","Charlene Fite","No candidate","Arkansas",2016,"80","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"121","Susan McGaughey","Bruce Coleman","No candidate","Arkansas",2016,"81","False",3187,"False",8259,"0",0,"female","male","Republican","male",0.2784378822296,0.7215621177704,0
"122","No candidate","Sarah Capp","No candidate","Arkansas",2016,"82","False",0,"False",1,"0",0,"N/A","female","Republican","female",0,1,0
"123","No candidate","David Branscum","No candidate","Arkansas",2016,"83","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"124","No candidate","Charlie Collins","No candidate","Arkansas",2016,"84","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"125","David Whitaker","Dwight Gonzales","No candidate","Arkansas",2016,"85","True",7453,"False",6624,"0",0,"male","male","Democrat","male",0.529445194288556,0.470554805711444,0
"126","Greg Leding","No candidate","No candidate","Arkansas",2016,"86","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"127","No candidate","Robin Lundstrum","No candidate","Arkansas",2016,"87","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"128","No candidate","Clint Penzo","No candidate","Arkansas",2016,"88","False",0,"False",1,"0",0,"N/A","male","Republican","male",0,1,0
"129","Irvin Camacho","Jeff Williams","No candidate","Arkansas",2016,"89","False",2210,"False",2823,"0",0,"male","male","Republican","male",0.439101927279952,0.560898072720048,0
"130","No candidate","Jana Della Rosa","No candidate","Arkansas",2016,"90","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"131","No candidate","Dan Douglas","No candidate","Arkansas",2016,"91","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"132","No candidate","Kim Hendren","No candidate","Arkansas",2016,"92","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"133","No candidate","Jim Dotson","No candidate","Arkansas",2016,"93","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"134","Grimsley Graham","Rebecca Petty","No candidate","Arkansas",2016,"94","False",4136,"True",4926,"0",0,"Unknown","female","Republican","female",0.456411388214522,0.543588611785478,0
"135","No candidate","Austin McCollum","Grant Brand","Arkansas",2016,"95","False",0,"False",10012,"False",3188,"N/A","male","Republican","male",0,0.758484848484849,0.241515151515152
"136","No candidate","Grant Hodges","Michael Kalagias","Arkansas",2016,"96","False",0,"True",7299,"False",2919,"N/A","male","Republican","male",0,0.714327657075749,0.285672342924251
"137","No candidate","Bob Ballinger","No candidate","Arkansas",2016,"97","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"138","No candidate","Ron McNair","No candidate","Arkansas",2016,"98","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"139","No candidate","Jack Fortner","No candidate","Arkansas",2016,"99","False",0,"False",1,"0",0,"N/A","male","Republican","male",0,1,0
"140","No candidate","Nelda Speaks","No candidate","Arkansas",2016,"100","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"141","No candidate","Brian Dahle","Donn Coenen","California",2016,"1","False",0,"True",148657,"False",52871,"N/A","male","Republican","male",0,0.737649358898019,0.262350641101981
"142","Jim Wood","No candidate","Ken Anton","California",2016,"2","True",138020,"False",0,"False",51245,"male","N/A","Democrat","male",0.729242067999894,0,0.270757932000106
"143","Edward Ritchie","James Gallagher","No candidate","California",2016,"3","False",63867,"True",108910,"0",0,"male","male","Republican","male",0.369649895530076,0.630350104469924,0
"144","Cecilia Aguiar-Curry","Charlie Schaupp","No candidate","California",2016,"4","False",118772,"False",68170,"0",0,"female","male","Democrat","female",0.635341442800441,0.364658557199559,0
"145","Robert Carabas","Frank Bigelow","No candidate","California",2016,"5","False",66949,"True",121644,"0",0,"male","male","Republican","male",0.354991966828037,0.645008033171963,0
"146","Brian Caples","Kevin Kiley","No candidate","California",2016,"6","False",81919,"False",149415,"0",0,"male","male","Republican","male",0.354115694191083,0.645884305808917,0
"147","Kevin McCarty","Ryan Brown","No candidate","California",2016,"7","True",111112,"False",48097,"0",0,"male","male","Democrat","male",0.697900244332921,0.302099755667079,0
"148","Ken Cooley","Nick Bloise","No candidate","California",2016,"8","True",104552,"False",78848,"0",0,"male","male","Democrat","male",0.570076335877863,0.429923664122137,0
"149","Jim Cooper","Tim Gorsulowsky","No candidate","California",2016,"9","True",109979,"False",54729,"0",0,"male","male","Democrat","male",0.667721057872113,0.332278942127887,0
"150","Marc Levine","No candidate","No candidate","California",2016,"10","True",205562,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"151","Jim Frazier","Dave Miller","No candidate","California",2016,"11","True",111592,"False",62227,"0",0,"male","male","Democrat","male",0.642001162128421,0.357998837871579,0
"152","No candidate","Ken Vogel","No candidate","California",2016,"12","False",0,"False",156113,"0",0,"N/A","male","Republican","male",0,1,0
"153","Susan Talamantes Eggman","Kevin J. Lincoln, II","No candidate","California",2016,"13","True",86315,"False",46883,"0",0,"female","male","Democrat","female",0.648020240544152,0.351979759455848,0
"154","Mae Torlakson","No candidate","No candidate","California",2016,"14","False",174953,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"155","Tony Thurmond","Claire Chiara","No candidate","California",2016,"15","True",189530,"False",22528,"0",0,"male","female","Democrat","male",0.893764913372757,0.106235086627243,0
"156","Cheryl Cook-Kallio","Catharine Baker","No candidate","California",2016,"16","False",102290,"True",129585,"0",0,"female","female","Republican","female",0.441142857142857,0.558857142857143,0
"157","David Chiu","Matthew Del Carlo","No candidate","California",2016,"17","True",172153,"False",27417,"0",0,"male","male","Democrat","male",0.86261963220925,0.13738036779075,0
"158","Rob Bonta","Roseann Slonsky-Breault","No candidate","California",2016,"18","True",156163,"False",23273,"0",0,"male","female","Democrat","male",0.870299159588934,0.129700840411066,0
"159","Phil Ting","Carlos Taylor","No candidate","California",2016,"19","True",150052,"False",37180,"0",0,"male","male","Democrat","male",0.80142283370364,0.19857716629636,0
"160","Bill Quirk","Luis A. Wong","No candidate","California",2016,"20","True",114001,"False",39507,"0",0,"male","male","Democrat","male",0.742638820126638,0.257361179873362,0
"161","Adam Gray","Greg Opinski","No candidate","California",2016,"21","True",85990,"False",37230,"0",0,"male","male","Democrat","male",0.697857490667099,0.3021425093329,0
"162","Kevin Mullin","Art Kiesel","No candidate","California",2016,"22","True",148289,"False",51046,"0",0,"male","male","Democrat","male",0.743918529109288,0.256081470890712,0
"163","No candidate","Gwen L. Morris","No candidate","California",2016,"23","False",0,"True",164809,"0",0,"N/A","female","Republican","female",0,1,0
"164","Marc Berman","No candidate","No candidate","California",2016,"24","False",169781,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"165","Kansen Chu","Bob Brunton","No candidate","California",2016,"25","True",107821,"False",40280,"0",0,"Unknown","male","Democrat","Unknown",0.728023443460881,0.271976556539119,0
"166","Ruben Macareno","Devon Mathis","No candidate","California",2016,"26","False",44205,"True",76289,"0",0,"male","male","Republican","male",0.366864740153037,0.633135259846963,0
"167","Madison Nguyen","No candidate","No candidate","California",2016,"27","False",134744,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"168","Evan Low","Nicholas Sclavos","No candidate","California",2016,"28","True",136547,"False",58641,"0",0,"male","male","Democrat","male",0.699566571715474,0.300433428284526,0
"169","Mark Stone","Sierra Roberts","No candidate","California",2016,"29","True",156703,"False",60245,"0",0,"male","female","Democrat","male",0.722306727879492,0.277693272120508,0
"170","Anna Caballero","No candidate","No candidate","California",2016,"30","False",127883,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"171","Joaquin Arambula","Clint Olivier","No candidate","California",2016,"31","True",62404,"False",35454,"0",0,"male","male","Democrat","male",0.637699523799792,0.362300476200208,0
"172","Rudy Salas","Manuel Ramirez","No candidate","California",2016,"32","True",53056,"False",28502,"0",0,"male","male","Democrat","male",0.650530910517668,0.349469089482332,0
"173","Scott Markovich","Jay Obernolte","No candidate","California",2016,"33","False",56086,"True",84000,"0",0,"male","male","Republican","male",0.400368345159402,0.599631654840598,0
"174","Perrin Swanlund","Vince Fong","No candidate","California",2016,"34","False",45305,"False",123959,"0",0,"male","male","Republican","male",0.267658805180074,0.732341194819926,0
"175","Dawn Ortiz-Legg","Jordan Cunningham","No candidate","California",2016,"35","False",87168,"False",105247,"0",0,"female","male","Republican","male",0.453020814385573,0.546979185614427,0
"176","Steve Fox","Tom Lackey","No candidate","California",2016,"36","False",68755,"True",77801,"0",0,"male","male","Republican","male",0.469138076912579,0.530861923087421,0
"177","S. Monique Limon","No candidate","Edward Fuller","California",2016,"37","False",128344,"False",0,"False",71944,"Unknown","N/A","Democrat","Unknown",0.640797251957182,0,0.359202748042818
"178","Christy Smith","Dante Acosta","No candidate","California",2016,"38","False",91801,"False",102977,"0",0,"female","male","Republican","male",0.471310928338929,0.528689071661071,0
"179","Raul Bocanegra","No candidate","No candidate","California",2016,"39","True",124483,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"180","Abigail Medina","Marc Steinorth","No candidate","California",2016,"40","False",74589,"True",76537,"0",0,"female","male","Republican","male",0.493555046782155,0.506444953217845,0
"181","Chris Holden","Casey C. Higgins","No candidate","California",2016,"41","True",120633,"False",78817,"0",0,"male","male","Democrat","male",0.604828277763851,0.395171722236149,0
"182","Greg Rodriguez","Chad Mayes","No candidate","California",2016,"42","False",72581,"True",97864,"0",0,"male","male","Republican","male",0.42583237994661,0.57416762005339,0
"183","Laura Friedman","No candidate","No candidate","California",2016,"43","False",164747,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
